state,gini,moe,year
ALABAMA,0.47,±0.003,2008
ALASKA,0.412,±0.006,2008
ARIZONA,0.453,±0.002,2008
ARKANSAS,0.459,±0.003,2008
CALIFORNIA,0.469,±0.001,2008
COLORADO,0.455,±0.003,2008
CONNECTICUT,0.482,±0.003,2008
DELAWARE,0.436,±0.005,2008
DISTRICT OF COLUMBIA,0.535,±0.005,2008
FLORIDA,0.471,±0.002,2008
GEORGIA,0.465,±0.002,2008
HAWAII,0.43,±0.004,2008
IDAHO,0.429,±0.003,2008
ILLINOIS,0.465,±0.002,2008
INDIANA,0.434,±0.002,2008
IOWA,0.427,±0.003,2008
KANSAS,0.444,±0.003,2008
KENTUCKY,0.464,±0.003,2008
LOUISIANA,0.475,±0.002,2008
MAINE,0.434,±0.003,2008
MARYLAND,0.441,±0.002,2008
MASSACHUSETTS,0.469,±0.002,2008
MICHIGAN,0.449,±0.001,2008
MINNESOTA,0.438,±0.002,2008
MISSISSIPPI,0.474,±0.003,2008
MISSOURI,0.45,±0.002,2008
MONTANA,0.437,±0.004,2008
NEBRASKA,0.432,±0.003,2008
NEVADA,0.437,±0.004,2008
NEW HAMPSHIRE,0.421,±0.003,2008
NEW JERSEY,0.463,±0.002,2008
NEW MEXICO,0.459,±0.003,2008
NEW YORK,0.498,±0.002,2008
NORTH CAROLINA,0.463,±0.002,2008
NORTH DAKOTA,0.444,±0.005,2008
OHIO,0.45,±0.001,2008
OKLAHOMA,0.459,±0.003,2008
OREGON,0.446,±0.002,2008
PENNSYLVANIA,0.458,±0.002,2008
RHODE ISLAND,0.456,±0.004,2008
SOUTH CAROLINA,0.461,±0.003,2008
SOUTH DAKOTA,0.44,±0.006,2008
TENNESSEE,0.469,±0.002,2008
TEXAS,0.472,±0.002,2008
UTAH,0.413,±0.003,2008
VERMONT,0.432,±0.005,2008
VIRGINIA,0.457,±0.002,2008
WASHINGTON,0.441,±0.002,2008
WEST VIRGINIA,0.454,±0.003,2008
WISCONSIN,0.429,±0.002,2008
WYOMING,0.425,±0.007,2008
PUERTO RICO,0.538,±0.003,2008
ALABAMA,0.4701,±0.0018,2011
ALASKA,0.4103,±0.0063,2011
ARIZONA,0.4543,±0.0018,2011
ARKANSAS,0.4616,±0.0021,2011
CALIFORNIA,0.4725,±0.0008,2011
COLORADO,0.4555,±0.0025,2011
CONNECTICUT,0.4825,±0.0025,2011
DELAWARE,0.4376,±0.0042,2011
DISTRICT OF COLUMBIA,0.5326,±0.0053,2011
FLORIDA,0.4735,±0.0012,2011
GEORGIA,0.4688,±0.0016,2011
HAWAII,0.4284,±0.0039,2011
IDAHO,0.4301,±0.0035,2011
ILLINOIS,0.4672,±0.0014,2011
INDIANA,0.4373,±0.0017,2011
IOWA,0.4281,±0.0022,2011
KANSAS,0.4447,±0.0022,2011
KENTUCKY,0.4665,±0.0020,2011
LOUISIANA,0.4777,±0.0022,2011
MAINE,0.439,±0.0033,2011
MARYLAND,0.4429,±0.0015,2011
MASSACHUSETTS,0.4718,±0.0016,2011
MICHIGAN,0.4524,±0.0012,2011
MINNESOTA,0.4408,±0.0016,2011
MISSISSIPPI,0.4756,±0.0030,2011
MISSOURI,0.4533,±0.0018,2011
MONTANA,0.4377,±0.0044,2011
NEBRASKA,0.4346,±0.0026,2011
NEVADA,0.4412,±0.0038,2011
NEW HAMPSHIRE,0.4255,±0.0038,2011
NEW JERSEY,0.4653,±0.0015,2011
NEW MEXICO,0.4631,±0.0033,2011
NEW YORK,0.5001,±0.0011,2011
NORTH CAROLINA,0.4654,±0.0017,2011
NORTH DAKOTA,0.4454,±0.0050,2011
OHIO,0.4521,±0.0011,2011
OKLAHOMA,0.4589,±0.0021,2011
OREGON,0.4489,±0.0023,2011
PENNSYLVANIA,0.4595,±0.0012,2011
RHODE ISLAND,0.4604,±0.0046,2011
SOUTH CAROLINA,0.4621,±0.0021,2011
SOUTH DAKOTA,0.4385,±0.0050,2011
TENNESSEE,0.4699,±0.0019,2011
TEXAS,0.4731,±0.0010,2011
UTAH,0.4162,±0.0026,2011
VERMONT,0.4328,±0.0043,2011
VIRGINIA,0.4581,±0.0014,2011
WASHINGTON,0.442,±0.0017,2011
WEST VIRGINIA,0.4581,±0.0030,2011
WISCONSIN,0.4315,±0.0019,2011
WYOMING,0.4224,±0.0068,2011
PUERTO RICO,0.5373,±0.0029,2011
ALABAMA,0.4705,±0.0022,2012
ALASKA,0.4132,±0.0051,2012
ARIZONA,0.4571,±0.0022,2012
ARKANSAS,0.4618,±0.0027,2012
CALIFORNIA,0.4751,±0.0009,2012
COLORADO,0.4559,±0.0018,2012
CONNECTICUT,0.4846,±0.0025,2012
DELAWARE,0.4373,±0.0037,2012
DISTRICT OF COLUMBIA,0.5315,±0.0053,2012
FLORIDA,0.476,±0.0012,2012
GEORGIA,0.4719,±0.0016,2012
HAWAII,0.4294,±0.0037,2012
IDAHO,0.4281,±0.0035,2012
ILLINOIS,0.4681,±0.0013,2012
INDIANA,0.4396,±0.0019,2012
IOWA,0.4299,±0.0021,2012
KANSAS,0.4454,±0.0024,2012
KENTUCKY,0.4666,±0.0018,2012
LOUISIANA,0.479,±0.0021,2012
MAINE,0.44,±0.0030,2012
MARYLAND,0.4444,±0.0015,2012
MASSACHUSETTS,0.4741,±0.0015,2012
MICHIGAN,0.4554,±0.0011,2012
MINNESOTA,0.442,±0.0016,2012
MISSISSIPPI,0.4765,±0.0024,2012
MISSOURI,0.4551,±0.0016,2012
MONTANA,0.4398,±0.0039,2012
NEBRASKA,0.4357,±0.0025,2012
NEVADA,0.4434,±0.0034,2012
NEW HAMPSHIRE,0.428,±0.0040,2012
NEW JERSEY,0.4669,±0.0014,2012
NEW MEXICO,0.4663,±0.0030,2012
NEW YORK,0.5005,±0.0013,2012
NORTH CAROLINA,0.4666,±0.0015,2012
NORTH DAKOTA,0.4481,±0.0044,2012
OHIO,0.455,±0.0011,2012
OKLAHOMA,0.4593,±0.0022,2012
OREGON,0.4517,±0.0022,2012
PENNSYLVANIA,0.4611,±0.0010,2012
RHODE ISLAND,0.4634,±0.0044,2012
SOUTH CAROLINA,0.464,±0.0020,2012
SOUTH DAKOTA,0.4417,±0.0054,2012
TENNESSEE,0.4706,±0.0018,2012
TEXAS,0.4741,±0.0008,2012
UTAH,0.4197,±0.0024,2012
VERMONT,0.4347,±0.0044,2012
VIRGINIA,0.4606,±0.0016,2012
WASHINGTON,0.4437,±0.0016,2012
WEST VIRGINIA,0.4596,±0.0036,2012
WISCONSIN,0.4336,±0.0016,2012
WYOMING,0.42,±0.0066,2012
PUERTO RICO,0.535,±0.0025,2012
ALABAMA,0.4729,±0.0018,2013
ALASKA,0.4143,±0.0039,2013
ARIZONA,0.4585,±0.0019,2013
ARKANSAS,0.4646,±0.0031,2013
