polarization,year,state
4.0606060606060606,1996,ALABAMA
5.217391304347826,2004,ALABAMA
2.578947368421052,2008,ALABAMA
4.70013037809648,2012,ALABAMA
6.0,2016,ALABAMA
5.9840881272949815,2020,ALABAMA
5.142857142857143,1996,ARKANSAS
,2004,ARKANSAS
6.354838709677419,2012,ARKANSAS
5.329032258064516,2016,ARKANSAS
5.25,2020,ARKANSAS
2.9,1996,ARIZONA
3.5199999999999996,2008,ARIZONA
4.058162590879048,2012,ARIZONA
4.209359605911331,2016,ARIZONA
4.837603468663776,2020,ARIZONA
3.9530303030303036,1996,CALIFORNIA
4.391666666666667,2004,CALIFORNIA
4.278205833791965,2008,CALIFORNIA
4.139543093448989,2012,CALIFORNIA
4.251253459548353,2016,CALIFORNIA
4.432049134561698,2020,CALIFORNIA
4.1404682274247495,1996,COLORADO
4.068627450980392,2004,COLORADO
4.206349206349206,2008,COLORADO
3.4315514993481098,2012,COLORADO
3.987711213517665,2016,COLORADO
4.421217105263158,2020,COLORADO
3.3333333333333335,1996,CONNECTICUT
3.333333333333333,2004,CONNECTICUT
4.3375,2008,CONNECTICUT
4.688888888888889,2012,CONNECTICUT
4.037296037296038,2016,CONNECTICUT
4.174403183023873,2020,CONNECTICUT
3.673728813559322,1996,FLORIDA
4.246376811594203,2004,FLORIDA
4.247498912570682,2008,FLORIDA
4.188079470198675,2012,FLORIDA
4.63312693498452,2016,FLORIDA
4.487772461456672,2020,FLORIDA
2.8228070175438598,1996,GEORGIA
7.666666666666667,2004,GEORGIA
4.455026455026455,2008,GEORGIA
4.564969271290606,2012,GEORGIA
4.914953933380581,2016,GEORGIA
4.738229997427322,2020,GEORGIA
,1996,HAWAII
,2012,HAWAII
3.5,2016,HAWAII
4.315508021390373,2020,HAWAII
3.3157894736842106,1996,IOWA
3.95,2004,IOWA
3.110077519379845,2012,IOWA
5.181818181818182,2016,IOWA
4.858017135862912,2020,IOWA
3.5689149560117297,1996,ILLINOIS
3.1666666666666665,2004,ILLINOIS
5.322222222222223,2008,ILLINOIS
4.119047619047619,2012,ILLINOIS
3.9955022488755625,2016,ILLINOIS
