polarization2,year,state,N
4.491779799677282,2006,ALABAMA,420
3.705442008906722,2006,ALASKA,108
4.307510571681625,2006,ARIZONA,858
4.584377421539836,2006,ARKANSAS,288
4.3509011648866505,2006,CALIFORNIA,3213
4.220059887242423,2006,COLORADO,537
4.341571523465589,2006,CONNECTICUT,305
4.37997371922372,2006,DELAWARE,93
4.4670889577861805,2006,FLORIDA,2057
4.239915221860642,2006,GEORGIA,1023
4.137009917689083,2006,HAWAII,77
4.045646030807264,2006,IDAHO,202
4.2292389556434,2006,ILLINOIS,1369
4.410457270961683,2006,INDIANA,776
4.445191389243422,2006,IOWA,299
4.2211685931682865,2006,KANSAS,403
4.787397488009194,2006,KENTUCKY,405
4.387817004846758,2006,LOUISIANA,306
4.211699989584492,2006,MAINE,192
4.495327505265857,2006,MARYLAND,630
3.9847371883929217,2006,MASSACHUSETTS,458
4.399128916413578,2006,MICHIGAN,1330
4.377384165300855,2006,MINNESOTA,622
4.611603469182794,2006,MISSISSIPPI,182
4.500390825762712,2006,MISSOURI,727
4.269307403219343,2006,MONTANA,124
4.5989567612129925,2006,NEBRASKA,151
4.263292528741822,2006,NEVADA,335
3.9694606349704054,2006,NEW HAMPSHIRE,172
4.254409203196213,2006,NEW JERSEY,718
4.497910895946562,2006,NEW MEXICO,274
4.319550446275036,2006,NEW YORK,1535
4.558339935093259,2006,NORTH CAROLINA,828
4.071170195614345,2006,NORTH DAKOTA,84
4.43164704176268,2006,OHIO,1379
4.706365211433662,2006,OKLAHOMA,369
4.238680226922352,2006,OREGON,641
4.615215504676177,2006,PENNSYLVANIA,1372
4.296230385333132,2006,RHODE ISLAND,96
4.474879951096601,2006,SOUTH CAROLINA,385
4.4942625144088595,2006,SOUTH DAKOTA,113
4.455053437409962,2006,TENNESSEE,595
4.311840265195318,2006,TEXAS,2432
4.072768758777385,2006,UTAH,306
4.096429564208978,2006,VERMONT,61
4.225788509576403,2006,VIRGINIA,790
4.217877660696988,2006,WASHINGTON,1016
4.533308657994181,2006,WEST VIRGINIA,249
4.465764994428646,2006,WISCONSIN,789
4.196709053454715,2006,WYOMING,81
4.491221759240169,2007,ALABAMA,134
4.203977086052381,2007,ARIZONA,155
4.724728294712626,2007,ARKANSAS,71
4.512266096292601,2007,CALIFORNIA,978
4.211058387812688,2007,COLORADO,124
4.710944597389805,2007,CONNECTICUT,91
4.432799146693738,2007,FLORIDA,519
4.338784395276553,2007,GEORGIA,251
3.9828088672390622,2007,IDAHO,37
4.152479658165884,2007,ILLINOIS,345
4.453674031001581,2007,INDIANA,169
4.676761605267537,2007,IOWA,84
4.321984988085882,2007,KANSAS,70
4.50039912488525,2007,KENTUCKY,121
4.552605487373746,2007,LOUISIANA,84
4.405143068941342,2007,MAINE,42
4.37649837428818,2007,MARYLAND,165
4.16622229287151,2007,MASSACHUSETTS,178
4.0754623498221,2007,MICHIGAN,279
4.467266889107917,2007,MINNESOTA,144
4.9169067097143895,2007,MISSISSIPPI,63
4.178359017172022,2007,MISSOURI,153
4.31836348680411,2007,NEBRASKA,38
4.299844442898704,2007,NEVADA,61
3.644432972947751,2007,NEW HAMPSHIRE,34
4.343191711228505,2007,NEW JERSEY,253
4.640851011595233,2007,NEW MEXICO,48
4.455834420849346,2007,NEW YORK,559
4.539086060000905,2007,NORTH CAROLINA,242
4.396514116114214,2007,OHIO,332
4.80346402708483,2007,OKLAHOMA,92
4.502592088989065,2007,OREGON,103
4.591152120649374,2007,PENNSYLVANIA,366
4.538436481872296,2007,SOUTH CAROLINA,126
4.485050646251564,2007,TENNESSEE,169
4.332814369450006,2007,TEXAS,588
4.11937161540499,2007,UTAH,67
4.311609889825444,2007,VIRGINIA,225
3.9068897666268647,2007,WASHINGTON,169
4.45852695863771,2007,WEST VIRGINIA,42
4.320920275504676,2007,WISCONSIN,151
4.741620499059545,2008,ALABAMA,325
4.058746274201079,2008,ALASKA,64
4.549513040503355,2008,ARIZONA,734
4.552404698174465,2008,ARKANSAS,348
4.628061823318871,2008,CALIFORNIA,2533
4.675596452193403,2008,COLORADO,481
4.475526166666302,2008,CONNECTICUT,379
4.936765608047837,2008,DELAWARE,107
4.522305050537907,2008,DISTRICT OF COLUMBIA,49
4.716363003320843,2008,FLORIDA,1917
4.715516563441005,2008,GEORGIA,746
4.451508956323419,2008,HAWAII,81
4.572208552235894,2008,IDAHO,153
4.679571901713383,2008,ILLINOIS,1042
4.711693669889433,2008,INDIANA,670
4.61937008644454,2008,IOWA,391
4.704233710022184,2008,KANSAS,354
4.7635040634251435,2008,KENTUCKY,420
4.875677041494981,2008,LOUISIANA,339
4.507811471612408,2008,MAINE,212
4.6556218070266215,2008,MARYLAND,466
4.144869568329484,2008,MASSACHUSETTS,482
4.618372983114962,2008,MICHIGAN,884
4.595202596167693,2008,MINNESOTA,522
4.7578462787038465,2008,MISSISSIPPI,249
4.497450952794872,2008,MISSOURI,758
4.311506814564945,2008,MONTANA,151
4.6379193346844865,2008,NEBRASKA,209
4.619546408328201,2008,NEVADA,375
4.150872222819397,2008,NEW HAMPSHIRE,192
4.496752049218973,2008,NEW JERSEY,757
4.974198642811799,2008,NEW MEXICO,236
4.564968894739296,2008,NEW YORK,1527
4.719852055012606,2008,NORTH CAROLINA,844
4.810386451764616,2008,NORTH DAKOTA,86
4.649727138399962,2008,OHIO,1193
4.720232676482354,2008,OKLAHOMA,409
4.634732894247436,2008,OREGON,515
4.790944743757844,2008,PENNSYLVANIA,1686
4.2787466276214365,2008,RHODE ISLAND,93
4.79963442059627,2008,SOUTH CAROLINA,377
4.747972578417915,2008,SOUTH DAKOTA,121
4.658197731870542,2008,TENNESSEE,558
4.6485513680653785,2008,TEXAS,1848
4.42098637883635,2008,UTAH,281
4.564059712341798,2008,VERMONT,92
4.654646259885341,2008,VIRGINIA,700
4.727204719102348,2008,WASHINGTON,772
4.631420770274934,2008,WEST VIRGINIA,220
4.461433778319898,2008,WISCONSIN,605
4.7109773869807805,2008,WYOMING,47
4.4076798286228716,2009,ALABAMA,161
3.9128514169834494,2009,ALASKA,32
4.335301223147914,2009,ARIZONA,295
4.559737300795373,2009,ARKANSAS,118
4.4347910096742,2009,CALIFORNIA,1127
4.437279645818327,2009,COLORADO,215
4.542350251648357,2009,CONNECTICUT,126
4.669504462807596,2009,DELAWARE,44
4.16502091688412,2009,DISTRICT OF COLUMBIA,33
4.479146556179262,2009,FLORIDA,883
4.414277833839824,2009,GEORGIA,360
3.693146079438809,2009,HAWAII,32
4.402041030068673,2009,IDAHO,66
4.383080122275457,2009,ILLINOIS,485
4.408794194878064,2009,INDIANA,241
4.61959212646712,2009,IOWA,99
4.551606131749923,2009,KANSAS,113
4.630560434024876,2009,KENTUCKY,151
4.609502432506826,2009,LOUISIANA,149
3.946300265293979,2009,MAINE,67
4.482883138203075,2009,MARYLAND,166
4.003213630448161,2009,MASSACHUSETTS,183
4.300438979098299,2009,MICHIGAN,358
4.381793663240254,2009,MINNESOTA,172
4.828812380335263,2009,MISSISSIPPI,91
4.198099522218927,2009,MISSOURI,232
3.6629339282805917,2009,MONTANA,40
4.430408246664085,2009,NEBRASKA,81
4.052145906614644,2009,NEVADA,121
3.748267333717874,2009,NEW HAMPSHIRE,56
4.6066481299523945,2009,NEW JERSEY,283
4.670884200240561,2009,NEW MEXICO,107
4.336123687444895,2009,NEW YORK,585
4.437371231575974,2009,NORTH CAROLINA,362
4.12410988838745,2009,NORTH DAKOTA,30
4.501390393900631,2009,OHIO,516
4.37476009030296,2009,OKLAHOMA,130
4.301432874798028,2009,OREGON,186
4.6586962202933275,2009,PENNSYLVANIA,576
3.9438528133111035,2009,RHODE ISLAND,43
4.597067858199237,2009,SOUTH CAROLINA,147
4.64751854291541,2009,SOUTH DAKOTA,40
4.376315685659925,2009,TENNESSEE,229
4.412165121697711,2009,TEXAS,851
3.6785705632944685,2009,UTAH,80
4.2770308552773235,2009,VIRGINIA,299
4.106351510276492,2009,WASHINGTON,304
4.820453375038886,2009,WEST VIRGINIA,75
4.351677261311849,2009,WISCONSIN,237
4.372184529810489,2009,WYOMING,35
4.393889921198957,2010,ALABAMA,580
3.936843377233851,2010,ALASKA,118
4.433969712150053,2010,ARIZONA,1331
4.237040469195307,2010,ARKANSAS,411
4.418136431527822,2010,CALIFORNIA,4972
4.40035573330111,2010,COLORADO,930
4.463465525082416,2010,CONNECTICUT,653
4.6232865300953385,2010,DELAWARE,192
4.025095363452932,2010,DISTRICT OF COLUMBIA,144
4.424910194336091,2010,FLORIDA,3956
4.380717320247889,2010,GEORGIA,1602
4.18089247818366,2010,HAWAII,149
4.294571080757042,2010,IDAHO,231
4.3826073041022084,2010,ILLINOIS,2213
4.352197777601344,2010,INDIANA,1022
4.3015776185816925,2010,IOWA,503
4.392017842737252,2010,KANSAS,469
4.470524665053114,2010,KENTUCKY,671
4.51847710789432,2010,LOUISIANA,583
4.111609764885847,2010,MAINE,284
4.510018966535511,2010,MARYLAND,923
3.755089505976175,2010,MASSACHUSETTS,869
4.172731676366851,2010,MICHIGAN,1583
4.1818345570760265,2010,MINNESOTA,803
4.210604174603377,2010,MISSISSIPPI,353
4.189296166168328,2010,MISSOURI,1093
4.342419163599343,2010,MONTANA,124
4.4341572316205,2010,NEBRASKA,130
4.4165790551930915,2010,NEVADA,542
3.7373492932583603,2010,NEW HAMPSHIRE,283
4.288270603672102,2010,NEW JERSEY,1252
4.403781581277763,2010,NEW MEXICO,378
4.366182228030709,2010,NEW YORK,2523
4.462121177192344,2010,NORTH CAROLINA,1327
4.264771362283564,2010,NORTH DAKOTA,111
4.238553434008485,2010,OHIO,2095
4.462077476263106,2010,OKLAHOMA,506
4.385600774215527,2010,OREGON,717
4.456689548701611,2010,PENNSYLVANIA,2341
3.9144362195798403,2010,RHODE ISLAND,145
4.215576019671748,2010,SOUTH CAROLINA,584
3.8014963543225404,2010,SOUTH DAKOTA,126
4.224985036184505,2010,TENNESSEE,839
4.331354788916091,2010,TEXAS,3331
3.9000550533893033,2010,UTAH,344
4.694208136564567,2010,VERMONT,77
4.191890044911042,2010,VIRGINIA,1143
4.130480948594298,2010,WASHINGTON,1165
4.829492234489208,2010,WEST VIRGINIA,273
4.236468721619202,2010,WISCONSIN,881
3.9340031292314954,2010,WYOMING,80
4.688769510815138,2011,ALABAMA,195
4.235617828906529,2011,ALASKA,45
4.256347251820035,2011,ARIZONA,408
4.078597970072561,2011,ARKANSAS,153
4.3503758505939665,2011,CALIFORNIA,1478
4.311671646254535,2011,COLORADO,324
4.441368960932657,2011,CONNECTICUT,190
5.254334933401777,2011,DELAWARE,45
3.9415652594975183,2011,DISTRICT OF COLUMBIA,40
4.2605365814576235,2011,FLORIDA,1186
4.490611385955585,2011,GEORGIA,522
4.017819929659879,2011,HAWAII,56
4.140586013635545,2011,IDAHO,104
4.284744262900082,2011,ILLINOIS,650
4.337410290416123,2011,INDIANA,358
4.074214002634358,2011,IOWA,188
4.105157593838631,2011,KANSAS,179
4.445295532778493,2011,KENTUCKY,218
4.617607571593412,2011,LOUISIANA,185
4.0746227124559535,2011,MAINE,97
4.3899365199326645,2011,MARYLAND,317
3.879766583390415,2011,MASSACHUSETTS,319
4.2331794528973985,2011,MICHIGAN,608
4.372947070863191,2011,MINNESOTA,316
4.460197962453432,2011,MISSISSIPPI,133
3.8842935215068173,2011,MISSOURI,402
3.425159347263696,2011,MONTANA,55
4.353961345041974,2011,NEBRASKA,114
4.379456902310021,2011,NEVADA,188
3.5205210766002635,2011,NEW HAMPSHIRE,100
4.222920200684953,2011,NEW JERSEY,450
4.203882212642334,2011,NEW MEXICO,116
4.32933401311352,2011,NEW YORK,928
4.540622432127578,2011,NORTH CAROLINA,454
4.147817214651949,2011,NORTH DAKOTA,39
4.3412048731167605,2011,OHIO,814
4.5058918036702185,2011,OKLAHOMA,172
4.5742469980562115,2011,OREGON,262
4.474867059851676,2011,PENNSYLVANIA,958
4.051431846000186,2011,RHODE ISLAND,54
4.216454327542117,2011,SOUTH CAROLINA,205
4.351871768316448,2011,SOUTH DAKOTA,57
4.221575812283898,2011,TENNESSEE,304
4.242229269628375,2011,TEXAS,1160
3.828664391268757,2011,UTAH,135
3.9927163372447554,2011,VERMONT,47
4.160625960518285,2011,VIRGINIA,448
3.9041310755218763,2011,WASHINGTON,410
4.05419372121604,2011,WEST VIRGINIA,91
4.367206143094261,2011,WISCONSIN,387
3.5834958397955816,2011,WYOMING,32
4.521648561197534,2012,ALABAMA,629
4.020577917897041,2012,ALASKA,94
4.284433690532698,2012,ARIZONA,1218
4.104575366301562,2012,ARKANSAS,394
4.3232883122702646,2012,CALIFORNIA,4319
4.115420047071511,2012,COLORADO,845
4.01296385192459,2012,CONNECTICUT,497
4.228448969455546,2012,DELAWARE,202
3.968971673180012,2012,DISTRICT OF COLUMBIA,98
4.279284387493915,2012,FLORIDA,3262
4.445678730819908,2012,GEORGIA,1499
4.1206283963719335,2012,HAWAII,156
4.391253780697168,2012,IDAHO,314
4.257275546654973,2012,ILLINOIS,1747
4.231473972875568,2012,INDIANA,849
3.88527868573573,2012,IOWA,507
4.197768290751142,2012,KANSAS,563
4.481009327925382,2012,KENTUCKY,693
