commune,candidate,value,rate_x,votes,rate_y,divisiveness,voters,hhi,entropy,growth
ALAGOINHA,FERNANDO HADDAD,10615,0.6636034008502125,14440,0.8490122295390404,0.0097981766485011,15996,0.48732410815882266,1.0136708246378585,0.1854088286888279
ALAGOINHA,JAIR MESSIAS BOLSONARO,2006,0.12540635158789698,2568,0.15098777046095954,0.0435000195616813,15996,0.48732410815882266,1.0136708246378585,0.02558141887306256
ALTO ALEGRE,FERNANDO HADDAD,3014,0.2473939095460888,4039,0.36397224475083356,0.0770166793693374,12183,0.37429016656296815,1.3061567916563308,0.11657833520474475
ALTO ALEGRE,JAIR MESSIAS BOLSONARO,6674,0.5478125256504965,7058,0.6360277552491664,0.1045957408202362,12183,0.37429016656296815,1.3061567916563308,0.0882152295986699
ALTO PARAÍSO,FERNANDO HADDAD,2692,0.2536989916124776,3126,0.31150971599402094,0.0528617496222691,10611,0.4319926134872601,1.176292683329562,0.05781072438154333
ALTO PARAÍSO,JAIR MESSIAS BOLSONARO,6392,0.6023937423428518,6909,0.6884902840059791,0.1048722921169036,10611,0.4319926134872601,1.176292683329562,0.0860965416631273
ALVORADA,FERNANDO HADDAD,23182,0.2301993962503972,37723,0.38484610440619865,0.081644410795034,100704,0.3254291290743101,1.4719392493577046,0.15464670815580145
ALVORADA,JAIR MESSIAS BOLSONARO,50662,0.503078328566889,60298,0.6151538955938013,0.0091958292676647,100704,0.3254291290743101,1.4719392493577046,0.11207556702691224
AMERICANA,FERNANDO HADDAD,12963,0.0997445407119004,27044,0.21523450246321102,0.0174065080641507,129962,0.4413222986414899,1.265842480751533,0.11548996175131061
AMERICANA,JAIR MESSIAS BOLSONARO,83563,0.6429802557670704,98605,0.784765497536789,0.007258853092659,129962,0.4413222986414899,1.265842480751533,0.14178524176971863
AMPARO,FERNANDO HADDAD,4325,0.10945487675254341,8678,0.22725011129441958,0.4596103963728772,39514,0.4115038347085792,1.3141238301663118,0.11779523454187617
AMPARO,JAIR MESSIAS BOLSONARO,24289,0.6146935263450929,29509,0.7727498887055805,0.3825923976851355,39514,0.4115038347085792,1.3141238301663118,0.1580563623604876
ANANINDEUA,FERNANDO HADDAD,63310,0.24772271958930694,109713,0.45279257788801625,0.0445460962575312,255568,0.28257432510946906,1.5693869530951832,0.2050698582987093
ANANINDEUA,JAIR MESSIAS BOLSONARO,111499,0.43627918988292747,132590,0.5472074221119838,0.0287453661934272,255568,0.28257432510946906,1.5693869530951832,0.11092823222905634
ANCHIETA,FERNANDO HADDAD,5549,0.2765649920255183,7614,0.3829787234042553,0.1016168591966896,20064,0.37613396103759833,1.3057972865606173,0.106413731378737
ANCHIETA,JAIR MESSIAS BOLSONARO,10817,0.5391248006379585,12267,0.6170212765957447,0.0989625875038797,20064,0.37613396103759833,1.3057972865606173,0.07789647595778615
ANGRA DOS REIS,FERNANDO HADDAD,13204,0.14950858281625073,21829,0.2568812737564282,0.0070644230313283,88316,0.4871546551374782,1.11843687289867,0.10737269094017748
ANGRA DOS REIS,JAIR MESSIAS BOLSONARO,59499,0.6737057837764392,63148,0.7431187262435718,0.0141890783901571,88316,0.4871546551374782,1.11843687289867,0.06941294246713259
ANTÔNIO CARLOS,FERNANDO HADDAD,3325,0.25137975353443714,4459,0.34678799191165033,0.2706535974495089,13227,0.3945914631993505,1.2658090315488497,0.09540823837721318
ANTÔNIO CARLOS,JAIR MESSIAS BOLSONARO,7511,0.5678536327209496,8399,0.6532120080883497,0.285010373599786,13227,0.3945914631993505,1.2658090315488497,0.0853583753674001
ANÁPOLIS,FERNANDO HADDAD,21948,0.11327239978736911,39442,0.2029441880328687,0.0133453903194541,193763,0.5216044830705447,1.1081796025512178,0.0896717882454996
ANÁPOLIS,JAIR MESSIAS BOLSONARO,137218,0.7081744192647719,154907,0.7970558119671313,0.0239357065408459,193763,0.5216044830705447,1.1081796025512178,0.0888813927023594
APARECIDA,FERNANDO HADDAD,4860,0.1821657483413921,8604,0.3330107984673143,0.3858061002209132,26679,0.33889218145974404,1.4175323685631924,0.1508450501259222
APARECIDA,JAIR MESSIAS BOLSONARO,14105,0.5286929794969827,17233,0.6669892015326857,0.3150871917516724,26679,0.33889218145974404,1.4175323685631924,0.13829622203570302
APARECIDA DE GOIÂNIA,FERNANDO HADDAD,42949,0.1984915217421445,71561,0.3298851687434022,0.0543541618010523,216377,0.38999849054228525,1.343662665510798,0.1313936470012577
APARECIDA DE GOIÂNIA,JAIR MESSIAS BOLSONARO,125994,0.5822892451600679,145366,0.6701148312565979,0.0384668663805896,216377,0.38999849054228525,1.343662665510798,0.08782558609653002
ARACAJU,FERNANDO HADDAD,85326,0.2842153649372452,155892,0.5275622260951962,0.0545696599055919,300216,0.2794897922560874,1.543537043682784,0.243346861157951
ARACAJU,JAIR MESSIAS BOLSONARO,119781,0.3989827324326485,139603,0.4724377739048038,0.0209192180747779,300216,0.2794897922560874,1.543537043682784,0.07345504147215531
ARAGUANÃ,FERNANDO HADDAD,5337,0.6915003887017362,5682,0.7710679875152666,0.2249690462131557,7718,0.5291999714475291,0.9310335699069209,0.07956759881353037
ARAGUANÃ,JAIR MESSIAS BOLSONARO,1694,0.21948691370821458,1687,0.22893201248473335,0.2048740596857642,7718,0.5291999714475291,0.9310335699069209,0.009445098776518779
ARAGUAÍNA,FERNANDO HADDAD,23248,0.29265222371882826,31320,0.4027984978651165,0.088630968359145,79439,0.39869859596135504,1.2205541653155112,0.11014627414628825
ARAGUAÍNA,JAIR MESSIAS BOLSONARO,43932,0.5530281096187012,46436,0.5972015021348834,0.0720067893720161,79439,0.39869859596135504,1.2205541653155112,0.04417339251618224
ARAPIRACA,FERNANDO HADDAD,36666,0.344935934824738,56755,0.5398554171026348,0.0598063831169814,106298,0.298425033884178,1.4367131885029807,0.19491948227789685
ARAPIRACA,JAIR MESSIAS BOLSONARO,41182,0.3874202713127246,48375,0.46014458289736515,0.0495804369218702,106298,0.298425033884178,1.4367131885029807,0.07272431158464054
ARARAQUARA,FERNANDO HADDAD,18967,0.16737557359689376,40311,0.36430759776233385,0.046561425475456,113320,0.3257188350100531,1.4800431777909253,0.1969320241654401
ARARAQUARA,JAIR MESSIAS BOLSONARO,58448,0.5157783268619838,70340,0.6356924022376662,0.0212514596107829,113320,0.3257188350100531,1.4800431777909253,0.11991407537568244
ARARUNA,FERNANDO HADDAD,5993,0.36562747849429567,9107,0.5412778603268945,0.1749379637884547,16391,0.30061430693652885,1.4605774376541505,0.17565038183259885
ARARUNA,JAIR MESSIAS BOLSONARO,6311,0.38502836922701483,7718,0.4587221396731055,0.2135095100987707,16391,0.30061430693652885,1.4605774376541505,0.07369377044609066
ARAÇATUBA,FERNANDO HADDAD,10823,0.10465194983513668,20424,0.20266529069132838,0.0116523889451934,103419,0.47894162093138054,1.1850119649758186,0.0980133408561917
ARAÇATUBA,JAIR MESSIAS BOLSONARO,69755,0.6744892137808333,80353,0.7973347093086717,0.0094841981827842,103419,0.47894162093138054,1.1850119649758186,0.12284549552783841
AREIA BRANCA,FERNANDO HADDAD,10299,0.4251393188854489,16003,0.6669028171361894,0.1630230167813315,24225,0.31067860752470017,1.3612667169240071,0.24176349825074045
AREIA BRANCA,JAIR MESSIAS BOLSONARO,6926,0.2859029927760578,7993,0.3330971828638106,0.058599912296768,24225,0.31067860752470017,1.3612667169240071,0.04719419008775283
ASSUNÇÃO,FERNANDO HADDAD,1595,0.436986301369863,2336,0.6340933767643865,0.3514169142307704,3650,0.33252857947082004,1.317772376788902,0.1971070753945235
ASSUNÇÃO,JAIR MESSIAS BOLSONARO,1247,0.34164383561643835,1348,0.36590662323561346,0.3649616628946607,3650,0.33252857947082004,1.317772376788902,0.024262787619175108
ATALAIA,FERNANDO HADDAD,11663,0.4980144327255647,14486,0.6428793325345049,0.2064492686566293,23419,0.3489607916743323,1.368071658859124,0.14486489980894018
ATALAIA,JAIR MESSIAS BOLSONARO,7082,0.30240403091506896,8047,0.35712066746549503,0.1613235664060383,23419,0.3489607916743323,1.368071658859124,0.05471663655042608
AURORA,FERNANDO HADDAD,7215,0.38684252855074797,13219,0.706785007752767,0.2317397913492331,18651,0.31618867337879036,1.29953835496851,0.319942479202019
AURORA,JAIR MESSIAS BOLSONARO,4426,0.23730631065358426,5484,0.2932149922472331,0.4704748310675043,18651,0.31618867337879036,1.29953835496851,0.05590868159364881
BAGÉ,FERNANDO HADDAD,18174,0.2804586348976096,27319,0.4339862428314985,0.0305630686389371,64801,0.32409457733641084,1.439760319764251,0.15352760793388892
BAGÉ,JAIR MESSIAS BOLSONARO,31074,0.4795296368883196,35630,0.5660137571685014,0.0302824860122843,64801,0.32409457733641084,1.439760319764251,0.08648412028018182
BALNEÁRIO CAMBORIÚ,FERNANDO HADDAD,5355,0.07847878654649373,11902,0.1800496187825245,0.0302191911940548,68235,0.5274438197310662,1.1010558875975185,0.10157083223603078
BALNEÁRIO CAMBORIÚ,JAIR MESSIAS BOLSONARO,48735,0.714222906133216,54202,0.8199503812174755,0.0144160627436905,68235,0.5274438197310662,1.1010558875975185,0.1057274750842595
BANDEIRANTES,FERNANDO HADDAD,4454,0.18794041942698003,6439,0.2758074188297781,0.1253838045595079,23699,0.42818951157161245,1.253539816189314,0.08786699940279807
BANDEIRANTES,JAIR MESSIAS BOLSONARO,14704,0.620448120173847,16907,0.7241925811702219,0.1356721596341841,23699,0.42818951157161245,1.253539816189314,0.10374446099637491
BARAÚNA,FERNANDO HADDAD,8462,0.507679385649148,12115,0.7121025098454123,0.1406922617338256,16668,0.3612439514558058,1.2125764329206254,0.2044231241962643
BARAÚNA,JAIR MESSIAS BOLSONARO,3948,0.23686105111591071,4898,0.28789749015458765,0.0977974594259737,16668,0.3612439514558058,1.2125764329206254,0.05103643903867694
BARCELONA,FERNANDO HADDAD,1835,0.3533602927017138,2967,0.6097410604192355,0.2221109934191382,5193,0.2726336305197464,1.51441517872865,0.25638076771752166
BARCELONA,JAIR MESSIAS BOLSONARO,1649,0.31754284613903333,1899,0.39025893958076446,0.0780196582278476,5193,0.2726336305197464,1.51441517872865,0.07271609344173113
BARRA BONITA,FERNANDO HADDAD,2620,0.1151243518762633,5281,0.2399581970192657,0.2101991712292538,22758,0.4057118800340196,1.3350299961020817,0.12483384514300241
BARRA BONITA,JAIR MESSIAS BOLSONARO,13901,0.6108181738289832,16727,0.7600418029807343,0.1285473538389115,22758,0.4057118800340196,1.3350299961020817,0.14922362915175114
BARRA DE SÃO MIGUEL,FERNANDO HADDAD,3898,0.4508443210733287,5310,0.620834794808839,0.1382394087060612,8646,0.3288013069547309,1.3581390037882235,0.16999047373551024
BARRA DE SÃO MIGUEL,JAIR MESSIAS BOLSONARO,2795,0.3232708767059912,3243,0.379165205191161,0.1731337257322601,8646,0.3288013069547309,1.3581390037882235,0.055894328485169786
BARRA MANSA,FERNANDO HADDAD,18532,0.19109094658692513,31110,0.33284118628835535,0.0389592756543783,96980,0.38639666622449625,1.3381373424164988,0.14175023970143022
BARRA MANSA,JAIR MESSIAS BOLSONARO,55972,0.5771499278201692,62358,0.6671588137116446,0.0324364373778105,96980,0.38639666622449625,1.3381373424164988,0.09000888589147549
BARRACÃO,FERNANDO HADDAD,3280,0.3670135392189773,3988,0.45897111290136955,0.0154709081412321,8937,0.35269132256705893,1.3218478378915162,0.09195757368239227
BARRACÃO,JAIR MESSIAS BOLSONARO,4104,0.459214501510574,4701,0.5410288870986305,0.010213930079751,8937,0.35269132256705893,1.3218478378915162,0.08181438558805648
BARREIRAS,FERNANDO HADDAD,34148,0.4777681394633013,43898,0.5947190874236246,0.0959581350700274,71474,0.38132417340732305,1.1984329731492243,0.11695094796032324
BARREIRAS,JAIR MESSIAS BOLSONARO,27262,0.38142541343705405,29915,0.40528091257637544,0.0790873851235371,71474,0.38132417340732305,1.1984329731492243,0.02385549913932139
BARRO ALTO,FERNANDO HADDAD,7014,0.5325740318906605,8480,0.6546745927584343,0.2955576950741251,13170,0.38512922249723114,1.223348089008958,0.12210056086777377
BARRO ALTO,JAIR MESSIAS BOLSONARO,3994,0.3032649962034928,4473,0.3453254072415657,0.277806163771563,13170,0.38512922249723114,1.223348089008958,0.0420604110380729
BARUERI,FERNANDO HADDAD,35483,0.19523615635179153,64279,0.370535405473956,0.0011053553049502,181744,0.2980152532493403,1.5480056549184094,0.1752992491221645
BARUERI,JAIR MESSIAS BOLSONARO,87488,0.4813804032045074,109197,0.629464594526044,0.0061144176512991,181744,0.2980152532493403,1.5480056549184094,0.14808419132153655
BATALHA,FERNANDO HADDAD,15863,0.6690708169893289,17856,0.764089177970816,0.0341284611662562,23709,0.49230203328550565,1.053156110444867,0.09501836098148708
BATALHA,JAIR MESSIAS BOLSONARO,4653,0.19625458686574718,5513,0.23591082202918395,0.0320684822665243,23709,0.49230203328550565,1.053156110444867,0.039656235163436776
BAURU,FERNANDO HADDAD,21762,0.11330067214028,49704,0.2706334600180771,0.0201436029369683,192073,0.3781569095408414,1.4099031762531515,0.1573327878777971
BAURU,JAIR MESSIAS BOLSONARO,112237,0.5843455352912694,133954,0.7293665399819229,0.0126616822511994,192073,0.3781569095408414,1.4099031762531515,0.1450210046906535
BELFORD ROXO,FERNANDO HADDAD,44336,0.1954979385761845,69174,0.31124129366664866,0.0179131482923144,226785,0.42329222656274357,1.2401500334549567,0.11574335509046416
BELFORD ROXO,JAIR MESSIAS BOLSONARO,138676,0.6114866503516546,153078,0.6887587063333513,0.0158709973119712,226785,0.42329222656274357,1.2401500334549567,0.07727205598169673
BELMONTE,FERNANDO HADDAD,7228,0.6069359308086322,8143,0.6839983200335993,0.2118854305120811,11909,0.44957279917392995,1.1157069979194207,0.07706238922496711
BELMONTE,JAIR MESSIAS BOLSONARO,3342,0.28062809639768244,3762,0.31600167996640066,0.1493986544155255,11909,0.44957279917392995,1.1157069979194207,0.035373583568718225
BELO HORIZONTE,FERNANDO HADDAD,207433,0.1453679909120916,472887,0.3440679569266589,0.023269277456424,1426951,0.3594418143993219,1.4017255577883763,0.19869996601456733
BELO HORIZONTE,JAIR MESSIAS BOLSONARO,787298,0.5517344323666334,901513,0.6559320430733411,0.0163024822973023,1426951,0.3594418143993219,1.4017255577883763,0.10419761070670763
BELÉM,FERNANDO HADDAD,186813,0.22831188067990163,360519,0.4551496107129376,0.153643622340186,818236,0.27213135177781134,1.6099679391602546,0.22683773003303595
BELÉM,JAIR MESSIAS BOLSONARO,351011,0.4289850361020537,431570,0.5448503892870624,0.0888514728038742,818236,0.27213135177781134,1.6099679391602546,0.11586535318500873
BETIM,FERNANDO HADDAD,49494,0.2420043321582069,75026,0.37968239187862474,0.0080697172419689,204517,0.3440745597921634,1.4226308312799658,0.13767805972041783
BETIM,JAIR MESSIAS BOLSONARO,106198,0.5192624573996294,122576,0.6203176081213753,0.007154834787745,204517,0.3440745597921634,1.4226308312799658,0.10105515072174587
BLUMENAU,FERNANDO HADDAD,16896,0.08561395685859205,31090,0.16049599405302717,0.0079403046436942,197351,0.5290086874995908,1.107007467998184,0.07488203719443512
BLUMENAU,JAIR MESSIAS BOLSONARO,141292,0.7159426605388369,162622,0.8395040059469728,0.016549998471529,197351,0.5290086874995908,1.107007467998184,0.1235613454081359
BOA ESPERANÇA,FERNANDO HADDAD,8946,0.2821814970192095,12150,0.39325479026411186,0.1304224665600435,31703,0.3489925041395378,1.3753205111071094,0.11107329324490234
BOA ESPERANÇA,JAIR MESSIAS BOLSONARO,16128,0.5087215720909694,18746,0.6067452097358882,0.0971072806298514,31703,0.3489925041395378,1.3753205111071094,0.09802363764491884
BOA VISTA,FERNANDO HADDAD,20432,0.11163014319822108,38981,0.22555968961746103,0.1593989522430969,183033,0.4884523484013079,1.1951625090172175,0.11392954641923995
BOA VISTA,JAIR MESSIAS BOLSONARO,125057,0.6832483759759169,133838,0.7744403103825389,0.2391366143284849,183033,0.4884523484013079,1.1951625090172175,0.09119193440662199
BOCAINA,FERNANDO HADDAD,3331,0.32311572412455136,4277,0.4302384065989337,0.4119079886441796,10309,0.31948107579019097,1.3894015447472725,0.10712268247438234
BOCAINA,JAIR MESSIAS BOLSONARO,4577,0.44398098748666215,5664,0.5697615934010662,0.3370658505972841,10309,0.31948107579019097,1.3894015447472725,0.1257806059144041
BOM JARDIM,FERNANDO HADDAD,27187,0.525647222598171,34878,0.6673044177014177,0.3094161947404833,51721,0.3743128191106368,1.2625969875259597,0.1416571951032467
BOM JARDIM,JAIR MESSIAS BOLSONARO,15051,0.29100365422168945,17389,0.33269558229858226,0.2252809214120341,51721,0.3743128191106368,1.2625969875259597,0.041691928076892815
BOM JESUS,FERNANDO HADDAD,14442,0.5015454071887481,18557,0.6491412180361703,0.1302084036001869,28795,0.3482265691867543,1.325193269404676,0.14759581084742224
BOM JESUS,JAIR MESSIAS BOLSONARO,8168,0.28366035770098974,10030,0.3508587819638297,0.1472075834426431,28795,0.3482265691867543,1.325193269404676,0.06719842426283995
BOM JESUS DO TOCANTINS,FERNANDO HADDAD,5140,0.5113410266613609,5363,0.5767907076790708,0.0058342119611095,10052,0.3959094364695545,1.1912430269152656,0.06544968101770987
BOM JESUS DO TOCANTINS,JAIR MESSIAS BOLSONARO,3636,0.3617190608834063,3935,0.42320929232092924,0.0227574104826203,10052,0.3959094364695545,1.1912430269152656,0.06149023143752297
BOM SUCESSO,FERNANDO HADDAD,5640,0.3248660791429065,8566,0.515062233179003,0.2097188618983936,17361,0.288321961382896,1.4637891604943436,0.19019615403609652
BOM SUCESSO,JAIR MESSIAS BOLSONARO,6805,0.3919705086112551,8065,0.48493776682099693,0.2313781016700253,17361,0.288321961382896,1.4637891604943436,0.09296725820974183
BONFIM,FERNANDO HADDAD,3304,0.27741393786733837,4832,0.4382766439909297,0.0191392268555103,11910,0.3179121750661447,1.456829642247681,0.16086270612359133
BONFIM,JAIR MESSIAS BOLSONARO,5650,0.47439126784214947,6193,0.5617233560090703,0.0670679421302394,11910,0.3179121750661447,1.456829642247681,0.08733208816692084
BONITO,FERNANDO HADDAD,26005,0.5268969709249316,32081,0.6460649266956662,0.211002009093106,49355,0.38218083277316584,1.2227071599006867,0.11916795577073458
BONITO,JAIR MESSIAS BOLSONARO,15106,0.30606828082261167,17575,0.3539350733043338,0.1900745272058542,49355,0.38218083277316584,1.2227071599006867,0.047866792481722154
BORBOREMA,FERNANDO HADDAD,2529,0.2431029510718062,3896,0.3722885809842332,0.3767840538226287,10403,0.34408475420280094,1.362743903787547,0.12918562991242696
BORBOREMA,JAIR MESSIAS BOLSONARO,5366,0.515812746323176,6569,0.6277114190157669,0.3213289346582202,10403,0.34408475420280094,1.362743903787547,0.1118986726925909
BRAGANÇA PAULISTA,FERNANDO HADDAD,6047,0.06813214052324403,16995,0.20088652482269503,0.0221839855445046,88754,0.40501246104153443,1.3248031492180177,0.13275438429945102
BRAGANÇA PAULISTA,JAIR MESSIAS BOLSONARO,53920,0.6075219145052617,67605,0.7991134751773049,0.0070889080001703,88754,0.40501246104153443,1.3248031492180177,0.1915915606720432
BRASÍLIA,FERNANDO HADDAD,190508,0.1187323038646521,463340,0.3001390768329867,0.0192795481931438,1604517,0.3852778742094586,1.3798953381558776,0.18140677296833457
BRASÍLIA,JAIR MESSIAS BOLSONARO,936494,0.5836610020336338,1080411,0.6998609231670133,0.0338513026430049,1604517,0.3852778742094586,1.3798953381558776,0.11619992113337951
BREJINHO,FERNANDO HADDAD,6454,0.5579666292037694,8849,0.7391413297694621,0.16501496510842,11567,0.38464073329109033,1.2373593690499958,0.18117470056569274
BREJINHO,JAIR MESSIAS BOLSONARO,2400,0.20748681594190369,3123,0.26085867023053794,0.1023989056233388,11567,0.38464073329109033,1.2373593690499958,0.05337185428863425
BRUSQUE,FERNANDO HADDAD,5398,0.07740177803269285,9095,0.13197417108031634,0.003439247747182,69740,0.6144957476123574,0.9315168593530064,0.054572393047623485
BRUSQUE,JAIR MESSIAS BOLSONARO,54200,0.7771723544594207,59820,0.8680258289196837,0.0013725426369033,69740,0.6144957476123574,0.9315168593530064,0.09085347446026304
BUENOS AIRES,FERNANDO HADDAD,5651,0.515931708207797,8082,0.7320652173913044,0.2522933810623418,10953,0.3492726727294896,1.352654337336241,0.21613350918350738
BUENOS AIRES,JAIR MESSIAS BOLSONARO,2556,0.23336072308956451,2958,0.26793478260869563,0.1287567183025751,10953,0.3492726727294896,1.352654337336241,0.03457405951913112
BURITIS,FERNANDO HADDAD,7577,0.2683548786966531,8527,0.3190048634493079,0.1458062627373122,28235,0.4370108097220547,1.1416304718311856,0.05064998475265481
BURITIS,JAIR MESSIAS BOLSONARO,16956,0.6005312555339118,18203,0.6809951365506921,0.1563614788887292,28235,0.4370108097220547,1.1416304718311856,0.08046388101678026
CABO DE SANTO AGOSTINHO,FERNANDO HADDAD,55842,0.5093957527548711,79320,0.6854357857624307,0.0063934418522857,109624,0.3542958707017713,1.3189043209175109,0.17604003300755955
CABO DE SANTO AGOSTINHO,JAIR MESSIAS BOLSONARO,30992,0.282711814931037,36402,0.31456421423756936,0.0148461080103412,109624,0.3542958707017713,1.3189043209175109,0.031852399306532386
CABO FRIO,FERNANDO HADDAD,10310,0.09855371703325591,23520,0.23928702234159444,0.0180722042344413,104613,0.4824217535681518,1.1670731002650627,0.14073330530833852
