commune,candidate,value,rate_x,votes,rate_y,divisiveness,voters,poverty_rate,hhi,entropy,growth
ALGARROBO,ALEJANDRO  GUILLIER ALVAREZ,1170.0,0.1866326367841761,2519.0,0.3783986780832207,0.0371746843997946,11810,0.09647623669295971,0.2992688794894276,1.46743299235419,0.1917660412990446
ALGARROBO,SEBASTIAN PIÑERA ECHENIQUE,2974.0,0.47439783059499124,4138.0,0.6216013219167793,0.0597002323791815,11810,0.09647623669295971,0.2992688794894276,1.46743299235419,0.14720349132178806
ALHUE,ALEJANDRO  GUILLIER ALVAREZ,571.0,0.2641073080481036,1425.0,0.5809213208316347,0.0589884625910069,5776,0.07195675933170456,0.2397808073348332,1.5843375909004673,0.3168140127835311
ALHUE,SEBASTIAN PIÑERA ECHENIQUE,731.0,0.3381128584643848,1028.0,0.4190786791683653,0.0410885837059213,5776,0.07195675933170456,0.2397808073348332,1.5843375909004673,0.08096582070398045
ALTO BIOBIO,ALEJANDRO  GUILLIER ALVAREZ,419.0,0.23672316384180792,701.0,0.36059670781893005,0.0476438405352423,5290,0.2892709776332985,0.3450247374636918,1.3781045087366197,0.12387354397712214
ALTO BIOBIO,SEBASTIAN PIÑERA ECHENIQUE,923.0,0.5214689265536723,1243.0,0.63940329218107,0.0755259738083667,5290,0.2892709776332985,0.3450247374636918,1.3781045087366197,0.11793436562739767
ALTO DEL CARMEN,ALEJANDRO  GUILLIER ALVAREZ,476.0,0.2521186440677966,847.0,0.4427600627286984,0.0481728634613854,4786,0.1277138289175974,0.27633885287991955,1.515737413318896,0.19064141866090178
ALTO DEL CARMEN,SEBASTIAN PIÑERA ECHENIQUE,800.0,0.423728813559322,1066.0,0.5572399372713016,0.0882679974967545,4786,0.1277138289175974,0.27633885287991955,1.515737413318896,0.1335111237119796
ALTO HOSPICIO,ALEJANDRO  GUILLIER ALVAREZ,3630.0,0.19631171921475313,7466.0,0.4282190995124749,0.0660632586249623,51451,0.1609218325218222,0.21135440437384878,1.6769986948912452,0.23190738029772176
ALTO HOSPICIO,SEBASTIAN PIÑERA ECHENIQUE,5552.0,0.3002541777080742,9969.0,0.5717809004875251,0.0707474736099346,51451,0.1609218325218222,0.21135440437384878,1.6769986948912452,0.27152672277945084
ANCUD,ALEJANDRO  GUILLIER ALVAREZ,3458.0,0.2288096340898564,7774.0,0.4867267718507388,0.042573385949187,37998,0.1206033473866003,0.23892514630591016,1.613077998670849,0.25791713776088243
ANCUD,SEBASTIAN PIÑERA ECHENIQUE,5529.0,0.3658439753854298,8198.0,0.5132732281492612,0.0723063152625435,37998,0.1206033473866003,0.23892514630591016,1.613077998670849,0.14742925276383145
ANDACOLLO,ALEJANDRO  GUILLIER ALVAREZ,1614.0,0.31973058637083995,3130.0,0.5769585253456221,0.0640868662895358,11040,0.1116838823475293,0.2611871359826804,1.5148001515494667,0.25722793897478213
ANDACOLLO,SEBASTIAN PIÑERA ECHENIQUE,1702.0,0.33716323296354994,2295.0,0.42304147465437786,0.0603418851030032,11040,0.1116838823475293,0.2611871359826804,1.5148001515494667,0.08587824169082792
ANGOL,ALEJANDRO  GUILLIER ALVAREZ,3704.0,0.1775391842016968,7184.0,0.31268770402611534,0.0397763724243575,46499,0.1486996364033379,0.2706193227414645,1.5549307563577979,0.13514851982441856
ANGOL,SEBASTIAN PIÑERA ECHENIQUE,9302.0,0.44586109380242533,15791.0,0.6873122959738847,0.0609824717920342,46499,0.1486996364033379,0.2706193227414645,1.5549307563577979,0.24145120217145932
ANTOFAGASTA,ALEJANDRO  GUILLIER ALVAREZ,24703.0,0.2300714345586797,49813.0,0.4587212568260721,0.0655182741506383,264504,0.08254209896171957,0.24148755276855993,1.5806623783220457,0.22864982226739242
ANTOFAGASTA,SEBASTIAN PIÑERA ECHENIQUE,37567.0,0.3498803215020816,58778.0,0.5412787431739279,0.0779686196908796,264504,0.08254209896171957,0.24148755276855993,1.5806623783220457,0.19139842167184629
ANTUCO,ALEJANDRO  GUILLIER ALVAREZ,424.0,0.2328390993959363,827.0,0.4087988136431043,0.0574826741420613,4440,0.1472194208619249,0.27760603683730084,1.5360915988933406,0.17595971424716797
ANTUCO,SEBASTIAN PIÑERA ECHENIQUE,808.0,0.44371224601867104,1196.0,0.5912011863568957,0.0686159090252633,4440,0.1472194208619249,0.27760603683730084,1.5360915988933406,0.14748894033822463
ARAUCO,ALEJANDRO  GUILLIER ALVAREZ,3720.0,0.26480637813211844,6736.0,0.4467732307488227,0.0613149668595573,29925,0.1304801189375123,0.21234645468708652,1.6900746979035175,0.18196685261670426
ARAUCO,SEBASTIAN PIÑERA ECHENIQUE,4162.0,0.29626993166287013,8341.0,0.5532267692511773,0.0571027427953771,29925,0.1304801189375123,0.21234645468708652,1.6900746979035175,0.2569568375883072
ARICA,ALEJANDRO  GUILLIER ALVAREZ,17610.0,0.2505869797225187,33703.0,0.4972557467024698,0.0448442375765339,172372,0.117570668124598,0.22098980958705072,1.6375102667057568,0.2466687669799511
