state,gini,moe,year,ec,ep,ed_attainment,gdp,polarization,N_x,political,fips,N_y,expenditure,personal_income,unemployment,population,sq_km,pop_density,turnout,type,expenditure_1,expenditure_g,expenditure_r,gini_1,gini_g,gini_r,ep_1,ep_g,ep_r,ec_1,ec_g,ec_r,personal_income_1,personal_income_g,personal_income_r,population_1,population_g,population_r,gdp_1,gdp_g,gdp_r,unemployment_1,unemployment_g,unemployment_r,ed_attainment_1,ed_attainment_g,ed_attainment_r,pop_density_1,pop_density_g,pop_density_r
NEW HAMPSHIRE,,,1997,,,,,,,,,,23201.0,27975.0,,,,,,PARTISAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH DAKOTA,,,1997,,,,,,,,,,18473.0,21196.0,,,,,,PARTISAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW MEXICO,,,1997,,,,,,,,,,17320.0,20576.0,,,,,,PARTISAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINNESOTA,,,1997,,,,,,,,,,22682.0,27087.0,,,,,,PARTISAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORIDA,,,1997,,,,,,,,,,22097.0,25378.0,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARKANSAS,,,1997,,,,,,,,,,16124.0,20187.0,,,,,,PARTISAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONNECTICUT,,,1997,,,,,,,,,,24754.0,35228.0,,,,,,PARTISAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE,,,1997,,,,,,,,,,20298.0,23247.0,,,,,,PARTISAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHODE ISLAND,,,1997,,,,,,,,,,20199.0,25975.0,,,,,,PARTISAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH CAROLINA,,,1997,,,,,,,,,,18289.0,21728.0,,,,,,PARTISAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE,,,1997,,,,,,,,,,19229.0,23267.0,,,,,,PARTISAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
