state,ed,ec,N_candidates,year
Alberta,0.6497239497769565,0.2289815895732282,2,2021
British Columbia,0.0,0.0,2,2021
Manitoba,0.0,0.0,2,2021
New Brunswick,0.0,0.0,2,2021
Newfoundland and Labrador,0.0,0.0,2,2021
Northwest Territories,0.0,0.0,2,2021
Nova Scotia,0.0,0.0,2,2021
Nunavut,0.0,0.0,2,2021
Ontario,0.0,0.0,2,2021
Prince Edward Island,0.0,0.0,2,2021
Quebec,0.0,0.0,2,2021
Saskatchewan,0.0,0.0,2,2021
Yukon,0.0,0.0,2,2021
Alberta,0.6395046939877204,0.1793790915142072,3,2021
British Columbia,0.0,0.0,3,2021
Manitoba,0.0,0.0,3,2021
New Brunswick,0.0,0.0,3,2021
Newfoundland and Labrador,0.0,0.0,3,2021
Northwest Territories,0.0,0.0,3,2021
Nova Scotia,0.0,0.0,3,2021
Nunavut,0.0,0.0,3,2021
Ontario,0.0,0.0,3,2021
Prince Edward Island,0.0,0.0,3,2021
Quebec,0.0,0.0,3,2021
Saskatchewan,0.0,0.0,3,2021
Yukon,0.0,0.0,3,2021
Alberta,0.6293162560055167,0.14613907558270986,4,2021
British Columbia,0.0,0.0,4,2021
Manitoba,0.0,0.0,4,2021
New Brunswick,0.0,0.0,4,2021
Newfoundland and Labrador,0.0,0.0,4,2021
Northwest Territories,0.0,0.0,4,2021
Nova Scotia,0.0,0.0,4,2021
Nunavut,0.0,0.0,4,2021
Ontario,0.0,0.0,4,2021
Prince Edward Island,0.0,0.0,4,2021
Quebec,0.0,0.0,4,2021
Saskatchewan,0.0,0.0,4,2021
Yukon,0.0,0.0,4,2021
Alberta,0.6482753656842822,0.11618948235649992,5,2021
British Columbia,0.0,0.0,5,2021
Manitoba,0.0,0.0,5,2021
New Brunswick,0.0,0.0,5,2021
Newfoundland and Labrador,0.0,0.0,5,2021
Northwest Territories,0.0,0.0,5,2021
Nova Scotia,0.0,0.0,5,2021
Nunavut,0.0,0.0,5,2021
Ontario,0.0,0.0,5,2021
Prince Edward Island,0.0,0.0,5,2021
Quebec,0.0,0.0,5,2021
Saskatchewan,0.0,0.0,5,2021
Yukon,0.0,0.0,5,2021
Alberta,0.6379318192766982,0.10278476827556118,6,2021
British Columbia,0.0,0.0,6,2021
Manitoba,0.0,0.0,6,2021
New Brunswick,0.0,0.0,6,2021
Newfoundland and Labrador,0.0,0.0,6,2021
Northwest Territories,0.0,0.0,6,2021
Nova Scotia,0.0,0.0,6,2021
Nunavut,0.0,0.0,6,2021
Ontario,0.0,0.0,6,2021
Prince Edward Island,0.0,0.0,6,2021
Quebec,0.0,0.0,6,2021
Saskatchewan,0.0,0.0,6,2021
Yukon,0.0,0.0,6,2021
Alberta,0.6364441164235577,0.09053831872807672,7,2021
British Columbia,0.0,0.0,7,2021
Manitoba,0.0,0.0,7,2021
New Brunswick,0.0,0.0,7,2021
Newfoundland and Labrador,0.0,0.0,7,2021
Northwest Territories,0.0,0.0,7,2021
Nova Scotia,0.0,0.0,7,2021
Nunavut,0.0,0.0,7,2021
Ontario,0.0,0.0,7,2021
Prince Edward Island,0.0,0.0,7,2021
Quebec,0.0,0.0,7,2021
Saskatchewan,0.0,0.0,7,2021
Yukon,0.0,0.0,7,2021
Alberta,0.6383416446502362,0.08017913732587953,8,2021
British Columbia,0.0,0.0,8,2021
Manitoba,0.0,0.0,8,2021
New Brunswick,0.0,0.0,8,2021
Newfoundland and Labrador,0.0,0.0,8,2021
Northwest Territories,0.0,0.0,8,2021
Nova Scotia,0.0,0.0,8,2021
Nunavut,0.0,0.0,8,2021
Ontario,0.0,0.0,8,2021
Prince Edward Island,0.0,0.0,8,2021
Quebec,0.0,0.0,8,2021
Saskatchewan,0.0,0.0,8,2021
Yukon,0.0,0.0,8,2021
Alberta,0.6404212101610801,0.07176778311253501,9,2021
British Columbia,0.0,0.0,9,2021
Manitoba,0.0,0.0,9,2021
New Brunswick,0.0,0.0,9,2021
