candidate,value,cumulative,N_candidates,year
Conservative,5747410,0.3374033116704981,1,2021
Liberal,5556629,0.6636067713722295,2,2021
NDP-New Democratic Party,3036348,0.8418564300157042,3,2021
Bloc Québécois,1301615,0.9182681026682548,4,2021
People's Party - PPC,840993,0.9676388319692281,5,2021
Green Party,396988,0.9909441235516013,6,2021
Free Party Canada,47252,0.9937180654285606,7,2021
Maverick Party,35178,0.9957831997582751,8,2021
Independent,25605,0.9972863484453052,9,2021
Christian Heritage Party,8985,0.997813815383519,10,2021
No Affiliation,6876,0.9982174728868198,11,2021
Parti Rhinocéros Party,6085,0.9985746945138684,12,2021
Libertarian,4765,0.9988544251716968,13,2021
Communist,4700,0.9991303399863439,14,2021
Marxist-Leninist,4532,0.9993963923139995,15,2021
Pour l'Indépendance du Québec,2934,0.999568633604675,16,2021
Animal Protection Party,2546,0.9997180972468221,17,2021
Marijuana Party,2031,0.9998373276699176,18,2021
VCP,1246,0.999910474448439,19,2021
Centrist,648,0.9999485154696924,20,2021
National Citizens Alliance,476,0.9999764591828354,21,2021
Parti Patriote,244,0.9999907832710851,22,2021
CFF - Canada's Fourth Front,105,0.999996947325455,23,2021
Nationalist,52,1.0,24,2021
