candidate,value,cumulative,N_candidates,year
Emmanuel MACRON,9388956,0.2776867054049668,1,2022
Marine LE PEN,7932226,0.5122893283662011,2,2022
Jean-Luc MÉLENCHON,7274166,0.7274292428688173,3,2022
Éric ZEMMOUR,2408575,0.7986649858492688,4,2022
Valérie PÉCRESSE,1625162,0.8467305941585789,5,2022
Yannick JADOT,1569199,0.8931410470816481,6,2022
Jean LASSALLE,1085474,0.9252449038749647,7,2022
Fabien ROUSSEL,793347,0.94870884541148,8,2022
Nicolas DUPONT-AIGNAN,698083,0.9693552696112755,9,2022
Anne HIDALGO,589273,0.9867835415037097,10,2022
Philippe POUTOU,259402,0.9944555858455363,11,2022
Nathalie ARTHAUD,187464,1.0,12,2022
