nuts_2,ep,ec,N_candidates,year
ES11,0.24291585115805242,0.5471946820471133,2,2019
ES12,0.11874414880010944,0.6802121608289894,2,2019
ES13,0.07764828167171076,0.7960332156423546,2,2019
ES21,0.12348028575029463,0.22550684258869172,2,2019
ES22,0.1341853511815475,0.5228366556263881,2,2019
ES23,0.0834183712981045,0.8991293811472522,2,2019
ES24,0.10350464077071195,0.8293042815625487,2,2019
ES30,0.10048874870602914,0.8096440768531529,2,2019
ES41,0.10233238722423493,0.8784553329099909,2,2019
ES42,0.10360682105571306,0.861199592627814,2,2019
ES43,0.11382791904978562,0.8494476742294335,2,2019
ES51,0.05834441385495016,0.16683804992996076,2,2019
ES52,0.0801044257792374,0.8081377486712871,2,2019
ES53,0.0753917260351356,0.7916769364559268,2,2019
ES61,0.12058138040243205,0.7965117873744325,2,2019
ES62,0.08159150130150826,0.8192169256537619,2,2019
ES63,0.19029208360825617,0.7290886783640824,2,2019
ES64,0.11795732605804019,0.7380364814319467,2,2019
ES70,0.078724902369573,0.7974714763642283,2,2019
ES11,0.16930875317582342,0.5562995114150341,3,2019
ES12,0.06879355086715391,0.7681809442166141,3,2019
ES13,0.06152281836653923,0.8688562910465183,3,2019
ES21,0.07355003431691379,0.4372087763490312,3,2019
ES22,0.09184157436558002,0.5893451520767266,3,2019
ES23,0.06096662640253281,0.8362566327620833,3,2019
ES24,0.08190567092770877,0.8749320100179164,3,2019
ES30,0.0824750503859508,0.8825719381429481,3,2019
ES41,0.0789543647484403,0.8669611231562793,3,2019
ES42,0.07850349844545677,0.8798291021504617,3,2019
ES43,0.08429986920655963,0.8472251488135131,3,2019
ES51,0.0533970430764375,0.47192021296329334,3,2019
ES52,0.06713257048275753,0.8948033275026512,3,2019
ES53,0.06637049959429062,0.8852520731519167,3,2019
ES61,0.09661722375568225,0.8663346182716636,3,2019
ES62,0.06683537096403779,0.9103711172918619,3,2019
ES63,0.13848254068402346,0.7619063745842543,3,2019
ES64,0.13151569067512883,0.8142574413258393,3,2019
ES70,0.063452044024678,0.8496657661600865,3,2019
ES11,0.1297136229553012,0.5955215998079879,4,2019
ES12,0.05071592553891205,0.7832976026549375,4,2019
ES13,0.050251888014891,0.8546469741010283,4,2019
ES21,0.052732270079738464,0.55918166802941,4,2019
ES22,0.09184157436558002,0.5893451520767266,4,2019
ES23,0.04874520270010381,0.826937556357275,4,2019
ES24,0.069280966715312,0.863536988913648,4,2019
ES30,0.06805456580731777,0.8744409908466246,4,2019
ES41,0.06349713552102815,0.8430387401712125,4,2019
ES42,0.061619461827652315,0.8452790507801139,4,2019
ES43,0.06635721765906337,0.8295264196981195,4,2019
ES51,0.04780350953646258,0.6240231794068849,4,2019
ES52,0.055364406538077546,0.8811716739706311,4,2019
ES53,0.05554813810298794,0.8787977926674687,4,2019
ES61,0.07778215787926637,0.8516670793669648,4,2019
ES62,0.05273070046793713,0.8667352863447533,4,2019
ES63,0.10979783543380456,0.7539494327649723,4,2019
ES64,0.107572998669111,0.7910018361881563,4,2019
ES70,0.052361650373324645,0.8472958421688772,4,2019
ES11,0.1297136229553012,0.5955215998079879,5,2019
ES12,0.05071592553891205,0.7832976026549375,5,2019
ES13,0.04508121974125593,0.8778427662025137,5,2019
ES21,0.05301559802385718,0.6860159756382178,5,2019
ES22,0.09184157436558002,0.5893451520767266,5,2019
ES23,0.039802263015151,0.8216596772846677,5,2019
ES24,0.07035411691558081,0.8382018597909253,5,2019
ES30,0.05601788176267798,0.8738855705370173,5,2019
ES41,0.057361413611628054,0.8365161381512507,5,2019
ES42,0.05079507416477685,0.832249618607756,5,2019
ES43,0.05485613468325186,0.8209938645138999,5,2019
ES51,0.04780350953646258,0.6240231794068849,5,2019
ES52,0.055364406538077546,0.8811716739706311,5,2019
ES53,0.05554813810298794,0.8787977926674687,5,2019
ES61,0.07778215787926637,0.8516670793669648,5,2019
ES62,0.04339107622898386,0.8534890031951172,5,2019
ES63,0.08927500628253754,0.7688259072723025,5,2019
ES64,0.09180319920133655,0.7963490176536436,5,2019
ES70,0.04953669212280474,0.8843715832705425,5,2019
ES11,0.1297136229553012,0.5955215998079879,6,2019
ES12,0.05071592553891205,0.7832976026549375,6,2019
ES13,0.04508121974125593,0.8778427662025137,6,2019
ES21,0.05301559802385718,0.6860159756382178,6,2019
ES22,0.09184157436558002,0.5893451520767266,6,2019
ES23,0.039802263015151,0.8216596772846677,6,2019
ES24,0.07035411691558081,0.8382018597909253,6,2019
ES30,0.05601788176267798,0.8738855705370173,6,2019
ES41,0.057361413611628054,0.8365161381512507,6,2019
ES42,0.05079507416477685,0.832249618607756,6,2019
ES43,0.05485613468325186,0.8209938645138999,6,2019
ES51,0.0465545882291859,0.7559994346316228,6,2019
ES52,0.055364406538077546,0.8811716739706311,6,2019
ES53,0.05554813810298794,0.8787977926674687,6,2019
ES61,0.07778215787926637,0.8516670793669648,6,2019
ES62,0.04339107622898386,0.8534890031951172,6,2019
ES63,0.08927500628253754,0.7688259072723025,6,2019
ES64,0.09180319920133655,0.7963490176536436,6,2019
ES70,0.04953669212280474,0.8843715832705425,6,2019
ES11,0.1297136229553012,0.5955215998079879,7,2019
ES12,0.05071592553891205,0.7832976026549375,7,2019
ES13,0.04508121974125593,0.8778427662025137,7,2019
ES21,0.05301559802385718,0.6860159756382178,7,2019
ES22,0.09184157436558002,0.5893451520767266,7,2019
ES23,0.039802263015151,0.8216596772846677,7,2019
ES24,0.07035411691558081,0.8382018597909253,7,2019
ES30,0.05601788176267798,0.8738855705370173,7,2019
ES41,0.057361413611628054,0.8365161381512507,7,2019
ES42,0.05079507416477685,0.832249618607756,7,2019
ES43,0.05485613468325186,0.8209938645138999,7,2019
ES51,0.0588649527990919,0.8378414408951291,7,2019
ES52,0.055364406538077546,0.8811716739706311,7,2019
ES53,0.05554813810298794,0.8787977926674687,7,2019
ES61,0.07778215787926637,0.8516670793669648,7,2019
ES62,0.04339107622898386,0.8534890031951172,7,2019
ES63,0.08927500628253754,0.7688259072723025,7,2019
ES64,0.09180319920133655,0.7963490176536436,7,2019
ES70,0.04953669212280474,0.8843715832705425,7,2019
ES11,0.1297136229553012,0.5955215998079879,8,2019
ES12,0.05071592553891205,0.7832976026549375,8,2019
ES13,0.04508121974125593,0.8778427662025137,8,2019
ES21,0.05301559802385718,0.6860159756382178,8,2019
ES22,0.09184157436558002,0.5893451520767266,8,2019
ES23,0.039802263015151,0.8216596772846677,8,2019
ES24,0.07035411691558081,0.8382018597909253,8,2019
ES30,0.05601788176267798,0.8738855705370173,8,2019
ES41,0.057361413611628054,0.8365161381512507,8,2019
ES42,0.05079507416477685,0.832249618607756,8,2019
ES43,0.05485613468325186,0.8209938645138999,8,2019
ES51,0.06137002809419036,0.8761582094381763,8,2019
ES52,0.055364406538077546,0.8811716739706311,8,2019
ES53,0.05554813810298794,0.8787977926674687,8,2019
ES61,0.07778215787926637,0.8516670793669648,8,2019
ES62,0.04339107622898386,0.8534890031951172,8,2019
ES63,0.08927500628253754,0.7688259072723025,8,2019
ES64,0.09180319920133655,0.7963490176536436,8,2019
ES70,0.04953669212280474,0.8843715832705425,8,2019
ES11,0.1297136229553012,0.5955215998079879,9,2019
ES12,0.05071592553891205,0.7832976026549375,9,2019
ES13,0.04508121974125593,0.8778427662025137,9,2019
ES21,0.05301559802385718,0.6860159756382178,9,2019
ES22,0.09184157436558002,0.5893451520767266,9,2019
ES23,0.039802263015151,0.8216596772846677,9,2019
ES24,0.07035411691558081,0.8382018597909253,9,2019
ES30,0.05601788176267798,0.8738855705370173,9,2019
ES41,0.057361413611628054,0.8365161381512507,9,2019
ES42,0.05079507416477685,0.832249618607756,9,2019
ES43,0.05485613468325186,0.8209938645138999,9,2019
ES51,0.054908284062151265,0.8928061647222941,9,2019
ES52,0.055364406538077546,0.8811716739706311,9,2019
ES53,0.05554813810298794,0.8787977926674687,9,2019
ES61,0.07778215787926637,0.8516670793669648,9,2019
ES62,0.04339107622898386,0.8534890031951172,9,2019
ES63,0.08927500628253754,0.7688259072723025,9,2019
ES64,0.09180319920133655,0.7963490176536436,9,2019
ES70,0.04953669212280474,0.8843715832705425,9,2019
ES11,0.1297136229553012,0.5955215998079879,10,2019
ES12,0.05071592553891205,0.7832976026549375,10,2019
