candidate,value,cumulative,N_candidates,year
PSOE,70325182,0.2163892594822082,1,2019
PP,64196028,0.4139192276324378,2,2019
VOX,48179810,0.562167594880083,3,2019
Cs,22532322,0.6314991249711771,4,2019
PODEMOS-IU,16656224,0.6827500122725393,5,2019
ERC-SOBIRANISTES,13906903,0.7255412906777754,6,2019
PSC-PSOE,12470010,0.7639112764054445,7,2019
ECP-GUANYEM,8829604,0.7910798014876994,8,2019
JxCAT-JUNTS,8395619,0.8169129629049676,9,2019
PODEMOS-IU LV CA,7152435,0.8389208705865236,10,2019
PODEMOS-EUPV,5104444,0.8546271485628594,11,2019
EAJ-PNV,4851241,0.8695543256807191,12,2019
PSdeG-PSOE,4844138,0.8844596470014606,13,2019
CUP-PR,3984913,0.8967211491923974,14,2019
MÁS PAÍS-EQ,3589995,0.9077674961409887,15,2019
EH Bildu,3372898,0.9181458397125563,16,2019
PACMA,3268020,0.9282014756549282,17,2019
PSE-EE (PSOE),2832074,0.9369157139722754,18,2019
MÉS COMPROM,2804922,0.9455464060974,19,2019
PODEMOS-EU,2386822,0.9528906124031277,20,2019
PP-FORO,1705301,0.9581377914375775,21,2019
BNG,1494539,0.9627364597705976,22,2019
PODEMOS-IX,1172717,0.9663448878755145,23,2019
CCa-PNC-NC,1170039,0.9699450758249081,24,2019
NA+,1039136,0.9731424777106409,25,2019
PRC,914790,0.9759572692981227,26,2019
PODEMOS-EUIB,907269,0.9787489189103649,27,2019
NC-CCa-PNC,768448,0.9811134189221897,28,2019
MÁS PAÍS-AN,741366,0.9833945881304726,29,2019
MÁS PAÍS,695439,0.9855344408254154,30,2019
PODEMOS-IU-BATZARRE,558050,0.9872515501569498,31,2019
RECORTES CERO-GV,427474,0.9885668795976599,32,2019
PUM+J,390463,0.9897683268889758,33,2019
M PAÍS-CHA-,365949,0.9908943450643465,34,2019
¡TERUEL EXI,281874,0.991761666049414,35,2019
MÉS-ESQUERR,207953,0.9924015335107894,36,2019
PODEMOS-IU-,196490,0.9930061295372264,37,2019
AxSÍ,187592,0.9935833465853783,38,2019
GBAI,133789,0.9939950128166419,39,2019
PCOE,130490,0.994396528087087,40,2019
UPL,118679,0.9947617011331531,41,2019
M PAÍS,117689,0.9951238279678792,42,2019
PCTE,113127,0.9954719176145927,43,2019
MÁS PAÍS-CA,112264,0.9958173518265726,44,2019
RECORTES CERO-GV-PCAS-TC,109743,0.9961550289690698,45,2019
PCPE,107166,0.9964847767311399,46,2019
ERPV,92919,0.996770686742746,47,2019
EB,85239,0.9970329655391096,48,2019
AVANT ADELANTE LOS VERDES,84775,0.9972938166162189,49,2019
CpM,82723,0.9975483537280054,50,2019
XAV,66488,0.9977529360507992,51,2019
VERDES,53484,0.9979175053107002,52,2019
PCPC,52176,0.9980780498792553,53,2019
I.Fem,51151,0.9982354405421301,54,2019
PCPA,44473,0.9983722831248759,55,2019
PH,44128,0.9985080641491246,56,2019
UIG-SOM-CUIDES,39488,0.9986295679808308,57,2019
IZQP,37828,0.9987459640238256,58,2019
SOMOS REGIÓ,36806,0.9988592153920838,59,2019
PCTC,34494,0.9989653527799198,60,2019
CONTIGO,33421,0.9990681885669805,61,2019
AHORA CANARIAS,32934,0.9991695258642205,62,2019
CHA,29740,0.9992610352836628,63,2019
PDSJE,18861,0.9993190702251593,64,2019
UNIDOS SÍ-A,17244,0.9993721296881338,65,2019
MAS,16455,0.99942276141298,66,2019
PPSO,15980,0.9994719315717793,67,2019
P-LIB,15605,0.9995199478626468,68,2019
PCTG,15592,0.9995679241527592,69,2019
EXTREMADURA UNIDA,14403,0.9996122419122827,70,2019
PREPAL,13577,0.9996540180853752,71,2019
ANDECHA,12891,0.9996936834493978,72,2019
PCTE/ELAK,12826,0.9997331488096456,73,2019
PYLN,9961,0.9997637986188945,74,2019
AUNACV,9833,0.9997940545745562,75,2019
FE de las J,8535,0.9998203166086833,76,2019
UNIÓN REGIO,7768,0.9998442185982673,77,2019
CAnda,7700,0.999867911353133,78,2019
FIA,7275,0.9998902963910095,79,2019
MDyC,6552,0.9999104567715134,80,2019
AVANT LOS VERDES,6075,0.9999291494320081,81,2019
RISA,4419,0.999942746611716,82,2019
SOLIDARIA,4158,0.9999555406993436,83,2019
DPL,3538,0.9999664270586571,84,2019
ELAK/PCTE,3312,0.9999766180202305,85,2019
centrados,3130,0.9999862489712344,86,2019
IZAR,1666,0.9999913752218327,87,2019
C 21,1512,0.9999960276173335,88,2019
LOS VERDES,927,0.9999988799788609,89,2019
UDT,364,1.0,90,2019
