"","Emmanuel.MACRON","Marine.LE.PEN"
"Nathalie ARTHAUD",0,0.98111470368779
"Fabien ROUSSEL",0.467065051173948,0.527541860522101
"Emmanuel MACRON",0.939294509813864,0.0601797447040456
"Jean LASSALLE",0.368551432511312,0.614844227549537
"Marine LE PEN",0,0.985425101529221
"Éric ZEMMOUR",0.229050140631557,0.769436567420526
"Jean-Luc MÉLENCHON",0.80976412034713,0.188983313992232
"Anne HIDALGO",0.514309941182686,0.464378391757253
"Yannick JADOT",0.992446029160813,0
"Valérie PÉCRESSE",0.963853876066051,0
"Philippe POUTOU",0,0.770667391598064
"Nicolas DUPONT-AIGNAN",0,0.989721108124195
