"","Emmanuel.MACRON","Marine.LE.PEN"
"Nathalie ARTHAUD",0,0.979060699382539
"Fabien ROUSSEL",0.446055325580177,0.546891204348521
"Emmanuel MACRON",0.942101010983412,0.0573727733388777
"Jean LASSALLE",0.38034794198813,0.602144257033493
"Marine LE PEN",0,0.984384407494296
"Éric ZEMMOUR",0.222423601857253,0.776215363374888
"Jean-Luc MÉLENCHON",0.815411667338428,0.183382883640826
"Anne HIDALGO",0.525597215245934,0.453171546581665
"Yannick JADOT",0.992750981308642,0
"Valérie PÉCRESSE",0.962465735085378,0
"Philippe POUTOU",0,0.755721714913822
"Nicolas DUPONT-AIGNAN",0,0.989007635133038
