district_id,candidate,party_id,value,N,Q,vQ/N
Københavns Storkreds,Helle Thorning-Schmidt,The Social Democratic Party,33564,49724,12,8.100072399646047
Københavns Storkreds,Karen Hækkerup,The Social Democratic Party,4526,49724,12,1.0922693266832917
Københavns Storkreds,Mette Reissmann,The Social Democratic Party,3154,49724,12,0.7611616120987853
Københavns Storkreds,Yildiz Akdogan,The Social Democratic Party,2599,49724,12,0.6272222669133618
Københavns Storkreds,Ikram Sarwar,The Social Democratic Party,1438,49724,12,0.347035636714665
Københavns Storkreds,Susan Hedlund,The Social Democratic Party,859,49724,12,0.20730431984554742
Københavns Storkreds,Lars Weiss,The Social Democratic Party,828,49724,12,0.19982302308744268
Københavns Storkreds,Michael Vindfeldt,The Social Democratic Party,785,49724,12,0.18944574048749094
Københavns Storkreds,Lars Gaardhøj,The Social Democratic Party,509,49724,12,0.12283806612501005
Københavns Storkreds,Thomas Bøgh,The Social Democratic Party,507,49724,12,0.12235540181803556
Københavns Storkreds,Jan Andreasen,The Social Democratic Party,486,49724,12,0.11728742659480332
Københavns Storkreds,Bo Sandberg,The Social Democratic Party,469,49724,12,0.11318477998552007
Københavns Omegns Storkreds,Mette Frederiksen,The Social Democratic Party,21847,47281,8,3.696537721283391
Københavns Omegns Storkreds,Mogens Lykketoft,The Social Democratic Party,9181,47281,8,1.5534358410355111
Københavns Omegns Storkreds,Morten Bødskov,The Social Democratic Party,6082,47281,8,1.029081449207927
Københavns Omegns Storkreds,Sophie Hæstorp Andersen,The Social Democratic Party,3219,47281,8,0.5446585309109367
Københavns Omegns Storkreds,Jeppe Bruus,The Social Democratic Party,2706,47281,8,0.4578583363296039
Københavns Omegns Storkreds,Kenneth F. Christensen,The Social Democratic Party,1921,47281,8,0.3250354264926715
Københavns Omegns Storkreds,Signe Wenneberg,The Social Democratic Party,1573,47281,8,0.2661534231509486
Københavns Omegns Storkreds,Martin Empacher,The Social Democratic Party,752,47281,8,0.12723927158901038
Nordsjællands Storkreds,Christine Antorini,The Social Democratic Party,10408,28617,6,2.182199391969808
Nordsjællands Storkreds,Nick Hækkerup,The Social Democratic Party,7797,28617,6,1.6347625537268058
Nordsjællands Storkreds,Thomas Horn,The Social Democratic Party,4296,28617,6,0.900723346262711
Nordsjællands Storkreds,Klaus Hækkerup,The Social Democratic Party,3608,28617,6,0.7564734248873047
Nordsjællands Storkreds,Marianne Stendell,The Social Democratic Party,1485,28617,6,0.3113533913408114
Nordsjællands Storkreds,Kristine Thrane,The Social Democratic Party,1023,28617,6,0.21448789181255898
Bornholms Storkreds,Jeppe Kofod,The Social Democratic Party,6811,7106,3,2.8754573599774838
Bornholms Storkreds,Jacob Lund,The Social Democratic Party,166,7106,3,0.0700816211652125
Bornholms Storkreds,Inge Munch,The Social Democratic Party,129,7106,3,0.054461018857303686
Sjællands Storkreds,Magnus Heunicke,The Social Democratic Party,9364,64086,12,1.753393876977811
Sjællands Storkreds,Henrik Sass Larsen,The Social Democratic Party,7352,64086,12,1.3766501263926598
Sjællands Storkreds,Lennart Damsbo-Andersen,The Social Democratic Party,6662,64086,12,1.247448740754611
Sjællands Storkreds,Ole Hækkerup,The Social Democratic Party,6447,64086,12,1.2071903379833349
Sjællands Storkreds,Mette Gjerskov,The Social Democratic Party,5855,64086,12,1.0963392940735885
Sjællands Storkreds,Vibeke Grave,The Social Democratic Party,5533,64086,12,1.036045314109166
Sjællands Storkreds,Rasmus Horn Langhoff,The Social Democratic Party,5410,64086,12,1.0130137627562963
Sjællands Storkreds,John Dyrby Paulsen,The Social Democratic Party,5292,64086,12,0.99091845332834
Sjællands Storkreds,Kaare Dybvad,The Social Democratic Party,4710,64086,12,0.8819398932684206
Sjællands Storkreds,Martin Leider Olsen,The Social Democratic Party,3606,64086,12,0.6752176762475424
Sjællands Storkreds,Bodil Kornbek,The Social Democratic Party,2291,64086,12,0.4289860499953188
Sjællands Storkreds,Jeannie Thorving Hansen,The Social Democratic Party,1564,64086,12,0.29285647411291077
Fyns Storkreds,Pernille Rosenkrantz-Theil,The Social Democratic Party,16919,46845,8,2.8893585227879175
Fyns Storkreds,Carsten Hansen,The Social Democratic Party,8171,46845,8,1.395410395986765
Fyns Storkreds,Trine Bramsen,The Social Democratic Party,4497,46845,8,0.767979506884406
Fyns Storkreds,Jan Johansen,The Social Democratic Party,4218,46845,8,0.7203330131284021
Fyns Storkreds,Julie Skovsby,The Social Democratic Party,3960,46845,8,0.6762728146013448
Fyns Storkreds,Poul Andersen,The Social Democratic Party,3664,46845,8,0.6257231294695271
Fyns Storkreds,Niels Christian Nielsen,The Social Democratic Party,3622,46845,8,0.6185505390116341
Fyns Storkreds,Hans Stavnsager,The Social Democratic Party,1794,46845,8,0.3063720781300032
Sydjyllands Storkreds,Benny Engelbrecht,The Social Democratic Party,8409,59737,13,1.8299713745250012
Sydjyllands Storkreds,Bjarne Corydon,The Social Democratic Party,8299,59737,13,1.806033111806753
Sydjyllands Storkreds,Jacob Bjerregaard,The Social Democratic Party,7893,59737,13,1.7176791603194
Sydjyllands Storkreds,Troels Ravn,The Social Democratic Party,6077,59737,13,1.3224802048981368
Sydjyllands Storkreds,Karen J. Klint,The Social Democratic Party,5084,59737,13,1.1063829787234043
Sydjyllands Storkreds,Anne Sina,The Social Democratic Party,4846,59737,13,1.0545892830239216
Sydjyllands Storkreds,Kim Qvist,The Social Democratic Party,4040,59737,13,0.8791871034702111
Sydjyllands Storkreds,Christina Dam Kristensen,The Social Democratic Party,3851,59737,13,0.8380568157088572
Sydjyllands Storkreds,Christian Rabjerg Madsen,The Social Democratic Party,3722,59737,13,0.8099837621574568
Sydjyllands Storkreds,Palle Graversgaard,The Social Democratic Party,2797,59737,13,0.6086847347540051
Sydjyllands Storkreds,Anne-Kathrine Brorsen,The Social Democratic Party,2555,59737,13,0.5560205567738588
Sydjyllands Storkreds,Niels Ole Beck,The Social Democratic Party,1865,59737,13,0.405862363359392
Sydjyllands Storkreds,Ove Jensen,The Social Democratic Party,299,59737,13,0.06506855047960226
Østjyllands Storkreds,Nicolai Wammen,The Social Democratic Party,32119,80715,11,4.377240909372484
Østjyllands Storkreds,Henrik Dam Kristensen,The Social Democratic Party,7719,80715,11,1.0519606021185652
Østjyllands Storkreds,Maja Panduro,The Social Democratic Party,7333,80715,11,0.9993557579136468
Østjyllands Storkreds,Leif Lahn Jensen,The Social Democratic Party,6986,80715,11,0.9520659109211423
Østjyllands Storkreds,Kirsten Brosbøl,The Social Democratic Party,6931,80715,11,0.9445704020318404
Østjyllands Storkreds,Jens Joel,The Social Democratic Party,5309,80715,11,0.7235210307873382
Østjyllands Storkreds,Torben Hansen,The Social Democratic Party,4985,80715,11,0.6793656693303599
Østjyllands Storkreds,René Skau Björnsson,The Social Democratic Party,3249,80715,11,0.442780152388032
Østjyllands Storkreds,Daniel Toft Jakobsen,The Social Democratic Party,2424,80715,11,0.330347519048504
Østjyllands Storkreds,Iben Sønderup,The Social Democratic Party,2214,80715,11,0.3017283032893514
Østjyllands Storkreds,Otto Ohrt,The Social Democratic Party,1446,80715,11,0.19706374279873629
Vestjyllands Storkreds,Thomas Jensen,The Social Democratic Party,7560,43500,11,1.9117241379310346
Vestjyllands Storkreds,Mogens Jensen,The Social Democratic Party,6461,43500,11,1.633816091954023
Vestjyllands Storkreds,Annette Lind,The Social Democratic Party,6073,43500,11,1.5357011494252875
Vestjyllands Storkreds,Karin Gaardsted,The Social Democratic Party,5439,43500,11,1.3753793103448275
Vestjyllands Storkreds,Peder Christensen,The Social Democratic Party,5400,43500,11,1.3655172413793104
Vestjyllands Storkreds,Rasmus Lynghøj,The Social Democratic Party,4631,43500,11,1.1710574712643678
Vestjyllands Storkreds,Lene Nørlund,The Social Democratic Party,3630,43500,11,0.9179310344827586
Vestjyllands Storkreds,Frank Heidemann Sørensen,The Social Democratic Party,2240,43500,11,0.5664367816091954
Vestjyllands Storkreds,Anders Andreasen,The Social Democratic Party,928,43500,11,0.23466666666666666
Vestjyllands Storkreds,Mads Panny,The Social Democratic Party,834,43500,11,0.21089655172413793
Vestjyllands Storkreds,Lars Fibæk,The Social Democratic Party,304,43500,11,0.07687356321839081
Nordjyllands Storkreds,Bjarne Laustsen,The Social Democratic Party,18733,73035,9,2.308441158348737
Nordjyllands Storkreds,Orla Hav,The Social Democratic Party,18121,73035,9,2.233025261860752
Nordjyllands Storkreds,Simon Kollerup,The Social Democratic Party,9859,73035,9,1.2149106592729513
Nordjyllands Storkreds,Flemming Møller Mortensen,The Social Democratic Party,6847,73035,9,0.8437461491065927
Nordjyllands Storkreds,Rasmus Prehn,The Social Democratic Party,5884,73035,9,0.7250770178681454
