candidate,party_id,district_id,value,N,Q,vQ/N
A. Anders Andreasen,The Social Democratic Party,Vestjyllands Storkreds,1014,37393,11,0.2982911240071671
A. Anne Paulin,The Social Democratic Party,Vestjyllands Storkreds,6905,37393,11,2.0312625357687266
A. Annette Lind,The Social Democratic Party,Vestjyllands Storkreds,9797,37393,11,2.882010001872008
A. Karin Gaardsted,The Social Democratic Party,Vestjyllands Storkreds,3160,37393,11,0.9295857513438344
A. Lars Fibæk,The Social Democratic Party,Vestjyllands Storkreds,233,37393,11,0.06854224052630171
A. Mette Nielsen,The Social Democratic Party,Vestjyllands Storkreds,2594,37393,11,0.7630839996790844
A. Mogens Jensen,The Social Democratic Party,Vestjyllands Storkreds,6413,37393,11,1.8865295643569653
A. Per Kamp Stefansen,The Social Democratic Party,Vestjyllands Storkreds,145,37393,11,0.042655042387612654
A. Peter Kempf Pedersen,The Social Democratic Party,Vestjyllands Storkreds,155,37393,11,0.04559676944882732
A. Thomas Jensen,The Social Democratic Party,Vestjyllands Storkreds,5803,37393,11,1.7070842136228705
A. Tina Mortensen,The Social Democratic Party,Vestjyllands Storkreds,1174,37393,11,0.3453587569866018
A. Anders Kronborg,The Social Democratic Party,Sydjyllands Storkreds,7407,55603,13,1.7317590777476035
A. Barbara Krarup Hansen,The Social Democratic Party,Sydjyllands Storkreds,1221,55603,13,0.28547020844199056
A. Benny Engelbrecht,The Social Democratic Party,Sydjyllands Storkreds,10657,55603,13,2.491610164919159
A. Birgitte Vind,The Social Democratic Party,Sydjyllands Storkreds,7116,55603,13,1.663723180403935
A. Bjørn Laursen,The Social Democratic Party,Sydjyllands Storkreds,254,55603,13,0.05938528496663849
A. Christian Rabjerg Madsen,The Social Democratic Party,Sydjyllands Storkreds,7643,55603,13,1.786935956692984
A. Jens Jonatan Steen,The Social Democratic Party,Sydjyllands Storkreds,2955,55603,13,0.6908799884898297
A. Jesper Petersen,The Social Democratic Party,Sydjyllands Storkreds,8701,55603,13,2.03429671060914
A. Kim Eskesen,The Social Democratic Party,Sydjyllands Storkreds,1138,55603,13,0.2660647806773016
A. Kris Jensen Skriver,The Social Democratic Party,Sydjyllands Storkreds,3723,55603,13,0.8704386453968311
A. Niels Ole Beck,The Social Democratic Party,Sydjyllands Storkreds,1325,55603,13,0.30978544323148033
A. Theis Kylling Hommeltoft,The Social Democratic Party,Sydjyllands Storkreds,3150,55603,13,0.736471053720123
A. Tommi Christensen,The Social Democratic Party,Sydjyllands Storkreds,313,55603,13,0.07317950470298365
A. Ane Halsboe-Jørgensen,The Social Democratic Party,Nordjyllands Storkreds,5469,97804,9,0.5032616252913992
A. Bjarne Laustsen,The Social Democratic Party,Nordjyllands Storkreds,7601,97804,9,0.6994499202486606
A. Flemming Møller Mortensen,The Social Democratic Party,Nordjyllands Storkreds,6194,97804,9,0.5699766880700176
A. Mette Frederiksen,The Social Democratic Party,Nordjyllands Storkreds,60837,97804,9,5.59826796450043
A. Morten Klessen,The Social Democratic Party,Nordjyllands Storkreds,1837,97804,9,0.16904216596458221
A. Morten Ryom,The Social Democratic Party,Nordjyllands Storkreds,1799,97804,9,0.16554537646722015
A. Per Husted,The Social Democratic Party,Nordjyllands Storkreds,2221,97804,9,0.2043781440431884
A. Rasmus Prehn,The Social Democratic Party,Nordjyllands Storkreds,1899,97804,9,0.17474745409185719
A. Simon Kollerup,The Social Democratic Party,Nordjyllands Storkreds,9947,97804,9,0.9153306613226453
A. Anna Thusgård,The Social Democratic Party,Østjyllands Storkreds,2924,61540,11,0.5226519337016574
A. Camilla Fabricius,The Social Democratic Party,Østjyllands Storkreds,4510,61540,11,0.806142346441339
A. Daniel Toft Jakobsen,The Social Democratic Party,Østjyllands Storkreds,3661,61540,11,0.6543873903152421
A. Dorthe Hindborg,The Social Democratic Party,Østjyllands Storkreds,3935,61540,11,0.7033636659083523
A. Iben Sønderup,The Social Democratic Party,Østjyllands Storkreds,2747,61540,11,0.49101397465063373
A. Jens Joel,The Social Democratic Party,Østjyllands Storkreds,6418,61540,11,1.147188820279493
A. Leif Lahn Jensen,The Social Democratic Party,Østjyllands Storkreds,7443,61540,11,1.3304029899252519
A. Malte Larsen,The Social Democratic Party,Østjyllands Storkreds,6313,61540,11,1.1284205394865128
A. Nicolai Wammen,The Social Democratic Party,Østjyllands Storkreds,18022,61540,11,3.221351966200845
A. Thomas Monberg,The Social Democratic Party,Østjyllands Storkreds,5479,61540,11,0.9793467663308417
A. Thyge Risvig,The Social Democratic Party,Østjyllands Storkreds,88,61540,11,0.015729606759831004
A. Astrid Krag,The Social Democratic Party,Sjællands Storkreds,7872,73863,12,1.2789082490556842
A. Brian Bressendorff,The Social Democratic Party,Sjællands Storkreds,2671,73863,12,0.43393850777791315
A. Frederik Enevoldsen,The Social Democratic Party,Sjællands Storkreds,947,73863,12,0.15385240242069778
A. Frederik Vad,The Social Democratic Party,Sjællands Storkreds,5082,73863,12,0.8256366516388449
A. Jeppe Kofod,The Social Democratic Party,Sjællands Storkreds,4279,73863,12,0.6951789123106291
A. Kaare Dybvad Bek,The Social Democratic Party,Sjællands Storkreds,8891,73863,12,1.444457983022623
A. Kasper Roug,The Social Democratic Party,Sjællands Storkreds,6278,73863,12,1.0199423256569595
A. Magnus Heunicke,The Social Democratic Party,Sjællands Storkreds,22102,73863,12,3.5907558588197066
A. Mette Gjerskov,The Social Democratic Party,Sjællands Storkreds,5244,73863,12,0.8519556476178872
