candidate,party_id,value,district_id,N,Q,vQ/N
ANDRES HERKEL,Eesti Vabaerakond,222,1,928,13,3.1099137931034484
ÕIE-MARI AASMÄE,Eesti Vabaerakond,43,1,928,13,0.6023706896551724
JÜRI PINO,Eesti Vabaerakond,36,1,928,13,0.5043103448275862
JAAK PROZES,Eesti Vabaerakond,35,1,928,13,0.49030172413793105
AGE MINKA,Eesti Vabaerakond,27,1,928,13,0.37823275862068967
JAANIKA KLOPETS,Eesti Vabaerakond,23,1,928,13,0.32219827586206895
TÕNU TEEVEER,Eesti Vabaerakond,19,1,928,13,0.2661637931034483
MARIKE LAHT,Eesti Vabaerakond,18,1,928,13,0.2521551724137931
JAANUS OJANGU,Eesti Vabaerakond,15,1,928,13,0.2101293103448276
SANDER KLAUSEN,Eesti Vabaerakond,12,1,928,13,0.16810344827586207
JAANUS PAASOJA,Eesti Vabaerakond,9,1,928,13,0.12607758620689655
PEETER LIINSOO,Eesti Vabaerakond,5,1,928,13,0.07004310344827586
Total of list 0.0826 quotas,Eesti Vabaerakond,464,1,928,13,6.5
KRISTEN MICHAL,Eesti Reformierakond,6347,1,32598,13,2.531167556291797
HEIDY PURGA,Eesti Reformierakond,4763,1,32598,13,1.899472360267501
ARTO AAS,Eesti Reformierakond,2339,1,32598,13,0.9327872875636543
SIGNE RIISALO,Eesti Reformierakond,837,1,32598,13,0.3337934842628382
ANTS LEEMETS,Eesti Reformierakond,477,1,32598,13,0.1902263942573164
MERIKE LANG,Eesti Reformierakond,321,1,32598,13,0.12801398858825694
LIIS KLAAR,Eesti Reformierakond,307,1,32598,13,0.1224308239769311
LEMBIT KOLK,Eesti Reformierakond,274,1,32598,13,0.1092705073930916
KRISTO ENN VAGA,Eesti Reformierakond,248,1,32598,13,0.09890177311491502
KATRIN HELENDI,Eesti Reformierakond,181,1,32598,13,0.07218234247499847
ANDRES ARO,Eesti Reformierakond,104,1,32598,13,0.0414749371127063
GEROL SILKIN,Eesti Reformierakond,101,1,32598,13,0.040278544695993616
Total of list 2.9006 quotas,Eesti Reformierakond,16299,1,32598,13,6.5
ZÜLEYXA IZMAILOVA,Erakond Eestimaa Rohelised,923,1,3624,13,3.31098233995585
MATTIAS TUROVSKI,Erakond Eestimaa Rohelised,441,1,3624,13,1.5819536423841059
KADRI SIKK,Erakond Eestimaa Rohelised,131,1,3624,13,0.46992273730684325
ANNE VETIK,Erakond Eestimaa Rohelised,71,1,3624,13,0.25469094922737306
FIDEELIA-SIGNE ROOTS,Erakond Eestimaa Rohelised,64,1,3624,13,0.22958057395143489
KRISTINA SADOHHINA,Erakond Eestimaa Rohelised,35,1,3624,13,0.12555187637969095
EERO UUSTALU,Erakond Eestimaa Rohelised,30,1,3624,13,0.1076158940397351
HANNES LIITMÄE,Erakond Eestimaa Rohelised,30,1,3624,13,0.1076158940397351
MIHKEL TIGANIK,Erakond Eestimaa Rohelised,28,1,3624,13,0.10044150110375276
TARMO ANDRE ELVISTO,Erakond Eestimaa Rohelised,26,1,3624,13,0.09326710816777042
MAIGI KÄIGE,Erakond Eestimaa Rohelised,22,1,3624,13,0.07891832229580574
MARTTI PREEM,Erakond Eestimaa Rohelised,11,1,3624,13,0.03945916114790287
Total of list 0.3225 quotas,Erakond Eestimaa Rohelised,1812,1,3624,13,6.5
SVEN MIKSER,Sotsiaaldemokraatlik Erakond,1693,1,11366,13,1.9363892310399438
RIINA SIKKUT,Sotsiaaldemokraatlik Erakond,1610,1,11366,13,1.8414569769487947
JAAK JUSKE,Sotsiaaldemokraatlik Erakond,672,1,11366,13,0.7686081295090621
ANDRUS VAARIK,Sotsiaaldemokraatlik Erakond,495,1,11366,13,0.5661622382544431
MARIANNE MIKKO,Sotsiaaldemokraatlik Erakond,419,1,11366,13,0.4792363188456801
ROY STRIDER,Sotsiaaldemokraatlik Erakond,222,1,11366,13,0.2539151856413866
SIIM TUISK,Sotsiaaldemokraatlik Erakond,192,1,11366,13,0.21960232271687488
MARIS SILD,Sotsiaaldemokraatlik Erakond,101,1,11366,13,0.11551997184585606
ERIKA SCHOLLER,Sotsiaaldemokraatlik Erakond,98,1,11366,13,0.1120886855534049
JOOSEP VIMM,Sotsiaaldemokraatlik Erakond,81,1,11366,13,0.0926447298961816
JEVGENI VAISBEIN,Sotsiaaldemokraatlik Erakond,53,1,11366,13,0.06061939116663734
GERTRUD KASEMAA,Sotsiaaldemokraatlik Erakond,47,1,11366,13,0.053756818581735
Total of list 1.0114 quotas,Sotsiaaldemokraatlik Erakond,5683,1,11366,13,6.5
MIHKEL KANGUR,Elurikkuse Erakond,423,1,1278,9,2.9788732394366195
RIINU LEPA,Elurikkuse Erakond,43,1,1278,9,0.3028169014084507
RIINA SOONE,Elurikkuse Erakond,42,1,1278,9,0.29577464788732394
ALLAN KOKKOTA,Elurikkuse Erakond,33,1,1278,9,0.2323943661971831
ALLAN PROOSO,Elurikkuse Erakond,32,1,1278,9,0.22535211267605634
SIIRI TIIVITS-PUTTONEN,Elurikkuse Erakond,27,1,1278,9,0.19014084507042253
ÜLO MÄNGEL,Elurikkuse Erakond,25,1,1278,9,0.176056338028169
KERTU NAMSING,Elurikkuse Erakond,14,1,1278,9,0.09859154929577464
Total of list 0.1137 quotas,Elurikkuse Erakond,639,1,1278,9,4.5
URMAS REITELMANN,Eesti Konservatiivne Rahvaerakond,2585,1,12722,13,2.6414871875491275
URMAS ESPENBERG,Eesti Konservatiivne Rahvaerakond,1974,1,12722,13,2.017135670492061
