candidate,party_id,district_id,value,N,Q,vQ/N
*Ahde Matti,Social Democratic Party of Finland,OULU - ULEÅBORG,4983,32601,18,2.751265298610472
*Jaakonsaari Liisa,Social Democratic Party of Finland,OULU - ULEÅBORG,5425,32601,18,2.995306892426613
Alanko Anja,Social Democratic Party of Finland,OULU - ULEÅBORG,438,32601,18,0.2418330726051348
Keränen Asko,Social Democratic Party of Finland,OULU - ULEÅBORG,1790,32601,18,0.9883132419250943
Keränen Heikki,Social Democratic Party of Finland,OULU - ULEÅBORG,2482,32601,18,1.3703874114290973
Kiimamaa Eevi,Social Democratic Party of Finland,OULU - ULEÅBORG,255,32601,18,0.14079322720161958
Kirveskari Liisa,Social Democratic Party of Finland,OULU - ULEÅBORG,945,32601,18,0.5217631361001196
Kurkela Hannu,Social Democratic Party of Finland,OULU - ULEÅBORG,600,32601,18,0.3312781816508696
Löytynoja Alpo,Social Democratic Party of Finland,OULU - ULEÅBORG,3059,32601,18,1.6889665961166835
Matilainen Jaana,Social Democratic Party of Finland,OULU - ULEÅBORG,1088,32601,18,0.6007177693935769
Mäkäräinen Raisa,Social Democratic Party of Finland,OULU - ULEÅBORG,1219,32601,18,0.6730468390540167
Määttä Antti,Social Democratic Party of Finland,OULU - ULEÅBORG,367,32601,18,0.2026318211097819
Piirainen Raimo,Social Democratic Party of Finland,OULU - ULEÅBORG,2692,32601,18,1.4863347750069016
Pohjola Tuija,Social Democratic Party of Finland,OULU - ULEÅBORG,3653,32601,18,2.0169319959510443
Sakone Kardigue,Social Democratic Party of Finland,OULU - ULEÅBORG,1256,32601,18,0.6934756602558204
Sirviö Pirjo,Social Democratic Party of Finland,OULU - ULEÅBORG,851,32601,18,0.4698628876414834
Säkkinen Merike,Social Democratic Party of Finland,OULU - ULEÅBORG,845,32601,18,0.4665501058249747
Takalo-Eskola Virpi,Social Democratic Party of Finland,OULU - ULEÅBORG,653,32601,18,0.3605410876966964
*Ahonen Esko,Center Party of Finland,VAASA - VASA,8420,83586,17,1.7124877371808676
*Haapoja Susanna,Center Party of Finland,VAASA - VASA,6135,83586,17,1.2477568013782212
*Hautala Lasse,Center Party of Finland,VAASA - VASA,7688,83586,17,1.5636111310506544
*Kiviniemi Mari,Center Party of Finland,VAASA - VASA,6781,83586,17,1.3791424401215515
*Lintilä Mika,Center Party of Finland,VAASA - VASA,10127,83586,17,2.059663101476324
*Ranta-Muotio Aulis,Center Party of Finland,VAASA - VASA,6940,83586,17,1.4114803914531142
*Vihriälä Jukka,Center Party of Finland,VAASA - VASA,9923,83586,17,2.0181728997679036
Aho Hannu,Center Party of Finland,VAASA - VASA,5019,83586,17,1.0207809920321584
Hallasmaa Leena,Center Party of Finland,VAASA - VASA,674,83586,17,0.13708037231115258
Hyytiä Arja,Center Party of Finland,VAASA - VASA,3065,83586,17,0.6233699423348408
Leikkari Pasi,Center Party of Finland,VAASA - VASA,796,83586,17,0.16189313999952146
Lemettinen Maiju (Maija-Liisa),Center Party of Finland,VAASA - VASA,3497,83586,17,0.7112315459526715
Niemelä Ilmari,Center Party of Finland,VAASA - VASA,3782,83586,17,0.7691957983394349
Palosaari-Penttilä Pirjo,Center Party of Finland,VAASA - VASA,1511,83586,17,0.3073122293206996
Puumala Tuomo,Center Party of Finland,VAASA - VASA,1244,83586,17,0.25300887708467923
Sihto Paula,Center Party of Finland,VAASA - VASA,5674,83586,17,1.1539970808508602
Tuuri-Tammela Helena,Center Party of Finland,VAASA - VASA,2310,83586,17,0.46981551934534493
*Akaan-Penttilä Eero,National Coalition Party,UUSIMAA - NYLAND,6076,104734,33,1.914449939847614
*Dromberg Kaarina,National Coalition Party,UUSIMAA - NYLAND,5874,104734,33,1.850802986613707
*Hemming Hanna-Leena,National Coalition Party,UUSIMAA - NYLAND,6676,104734,33,2.1035002959879314
*Matikainen-Kallström Marjo,National Coalition Party,UUSIMAA - NYLAND,10807,104734,33,3.4051119980140165
*Saarikangas Martin,National Coalition Party,UUSIMAA - NYLAND,10303,104734,33,3.24630969885615
*Sjöblom Juhani,National Coalition Party,UUSIMAA - NYLAND,4907,104734,33,1.5461168293008956
*Vahasalo Raija,National Coalition Party,UUSIMAA - NYLAND,5941,104734,33,1.8719136097160425
*Viren Lasse,National Coalition Party,UUSIMAA - NYLAND,4838,104734,33,1.524376038344759
Alakas Mehmet,National Coalition Party,UUSIMAA - NYLAND,1025,104734,33,0.3229610250730422
Erkama Ritva,National Coalition Party,UUSIMAA - NYLAND,2897,104734,33,0.9127981362308324
Graeffe Petri,National Coalition Party,UUSIMAA - NYLAND,1868,104734,33,0.588576775450188
