candidate,value,elected,party,party_id,district_id,N,Q,vQ/N
PAJETTA GIAN CARLO,146788,Eletto,PCI,1,1,523841,37,10.367947526062297
PUGNO EMILIO,53785,Eletto,PCI,1,1,523841,37,3.798948535910706
LIBERTINI LUCIO,51901,Eletto,PCI,1,1,523841,37,3.665877623171917
SPAGNOLI UGO,39197,Eletto,PCI,1,1,523841,37,2.768567179735836
NAPOLEONI CLAUDIO,21962,Eletto,PCI,1,1,523841,37,1.5512226038053532
CASAPIERI CARMEN IN QUAGLIOTTI,17639,Eletto,PCI,1,1,523841,37,1.245879952122877
TODROS ALBERTO,16663,Eletto,PCI,1,1,523841,37,1.176943003697687
BRUSCA ANTONINO,14662,Eletto,PCI,1,1,523841,37,1.0356081330021896
ROSOLEN ANGELA MARIA,14395,Eletto,PCI,1,1,523841,37,1.0167493571522657
FURIA GIOVANNI,13095,Eletto,PCI,1,1,523841,37,0.9249276020777297
CASTOLDI GIUSEPPE G BATTISTA,11935,Eletto,PCI,1,1,523841,37,0.8429943437035283
TAMINI MARIO,11284,Eletto,PCI,1,1,523841,37,0.7970128340469723
GUASSO NAZZARENO,10473,Eletto,PCI,1,1,523841,37,0.7397301853043194
GARBI MARIO,10336,Eletto,PCI,1,1,523841,37,0.7300535849618491
VINAY TULLIO SCIPIONE,8678,Eletto,PCI,1,1,523841,37,0.6129455311821717
ALLEGRA PAOLO MARIA GIULIANO,8323,,PCI,1,1,523841,37,0.5878711288348946
ALLEGRA PIER GIORGIO,7739,,PCI,1,1,523841,37,0.5466219711706415
ALFANO BONAVENTURA,7360,,PCI,1,1,523841,37,0.5198523979604498
BIANCHI MARIA ANNA IN ZINCOL,4889,,PCI,1,1,523841,37,0.34532043119954337
BO GIUSEPPE,4365,,PCI,1,1,523841,37,0.30830920069257656
BARCELLINI ROSANNA,4134,,PCI,1,1,523841,37,0.2919931811370244
FANNINI MIRELLA,3847,,PCI,1,1,523841,37,0.27172176290133837
AGAZZONE FRANCO,3793,,PCI,1,1,523841,37,0.2679076284597807
BONINO LORENZO,3520,,PCI,1,1,523841,37,0.24862505989412817
BATTISTELLA LILIANA IN AVANZI,3461,,PCI,1,1,523841,37,0.24445776485613002
PACE ALDO,3452,,PCI,1,1,523841,37,0.24382207578253706
PISANO ARMANDO,2898,,PCI,1,1,523841,37,0.20469188169692712
FEDERICO VITTORIO,2880,,PCI,1,1,523841,37,0.20342050354974123
GAPISANI ARCHIMEDE,2774,,PCI,1,1,523841,37,0.19593349890520215
LOBBIA INES IN ROSSATO,2714,,PCI,1,1,523841,37,0.19169557174791588
TERRACINA MARINA IN DINA,2584,,PCI,1,1,523841,37,0.18251339624046228
LEONESI MAURIZIO CARLO,2479,,PCI,1,1,523841,37,0.1750970237152113
MAIERNA GIOVANNI,2218,,PCI,1,1,523841,37,0.156662040581016
MICOLAZZI BRUNO,2203,,PCI,1,1,523841,37,0.15560255879169443
LUISI MARIA CARMELA IN DEF,2143,,PCI,1,1,523841,37,0.15136463163440816
STACCHINI NIVO,2075,,PCI,1,1,523841,37,0.14656164752281703
CARLINO EUSEBIO,1197,,PCI,1,1,523841,37,0.0845466467878612
PANNELLA GIACINTO,12518,Eletto,P.RAD,2,1,27963,37,16.56353037942996
AGLIETTA MARIA ADELAIDE IN RO,4774,,P.RAD,2,1,27963,37,6.316847262453957
PEZZANA ANGELO,2611,,P.RAD,2,1,27963,37,3.4548152916353754
CICCIOMESSERE ROBERTO,1811,,P.RAD,2,1,27963,37,2.3962736473196724
PIVANO FERNANDA IN SOTTSASS,1474,,P.RAD,2,1,27963,37,1.9503629796516826
POGLIANO CESARE,724,,P.RAD,2,1,27963,37,0.9579801881057112
BONA MATILDE,447,,P.RAD,2,1,27963,37,0.591460143761399
ALOI SILVANA IN MARTINENG,435,,P.RAD,2,1,27963,37,0.5755820190966634
VATTINO GIANTERESIO,435,,P.RAD,2,1,27963,37,0.5755820190966634
DELLA VALLE DONATELLA IN CAPPA,196,,P.RAD,2,1,27963,37,0.25934270285734723
BIANZINO GIUSEPPE,177,,P.RAD,2,1,27963,37,0.23420233880484925
CAMIS DE FONSECA LAURA IN TAMAGNO,174,,P.RAD,2,1,27963,37,0.23023280763866538
CORNAGLIA RITA,159,,P.RAD,2,1,27963,37,0.21038515180774595
CASTELLI CLARA IN CORBETTA,143,,P.RAD,2,1,27963,37,0.1892143189214319
CAVAGLIA' GIAMPIERO,139,,P.RAD,2,1,27963,37,0.18392161069985338
TREVES MARIO,129,,P.RAD,2,1,27963,37,0.1706898401459071
MASERA MARIA LUISA,126,,P.RAD,2,1,27963,37,0.1667203089797232
CASTAGNOTTO UGO,123,,P.RAD,2,1,27963,37,0.16275077781353933
ZAVARONI EMMA IN CHIABERGE,120,,P.RAD,2,1,27963,37,0.15878124664735543
BOGLINO ENNIO,112,,P.RAD,2,1,27963,37,0.1481958302041984
MOIA FRANCESCO PRIMO,107,,P.RAD,2,1,27963,37,0.14157994492722525
MOLINENGO FILIPPO,97,,P.RAD,2,1,27963,37,0.12834817437327897
CERVINI FRANCESCO,93,,P.RAD,2,1,27963,37,0.12305546615170046
MAZZA MANLIO,88,,P.RAD,2,1,27963,37,0.11643958087472732
TORELLI LILIANA,85,,P.RAD,2,1,27963,37,0.11247004970854343
NESPOLO UGO,79,,P.RAD,2,1,27963,37,0.10453098737617567
GARRUSO ANGIOLINA IN ROLANDO,75,,P.RAD,2,1,27963,37,0.09923827915459714
LOIACONO LUIGI,69,,P.RAD,2,1,27963,37,0.09129921682222937
ROVERA LUCIANA IN BRIATTA,64,,P.RAD,2,1,27963,37,0.08468333154525623
STRATICO' MATILDE,63,,P.RAD,2,1,27963,37,0.0833601544898616
GHINELLI CESARINA,56,,P.RAD,2,1,27963,37,0.0740979151020992
MACAGNO GEMMA IN IRALDO,54,,P.RAD,2,1,27963,37,0.07145156099130995
PIZZINI CLAUDIO,47,,P.RAD,2,1,27963,37,0.062189321603547544
PUGLISI ARMANDO,44,,P.RAD,2,1,27963,37,0.05821979043736366
NORO FRANCESCA IN CAGLIER,40,,P.RAD,2,1,27963,37,0.05292708221578515
MASSI GIUSEPPINA IN GIOVAN,38,,P.RAD,2,1,27963,37,0.05028072810499589
PALOSCHI MARIA CARMELA,37,,P.RAD,2,1,27963,37,0.048957551049601256
ABELLI TULLIO,17251,Eletto,MSI-DN,3,1,69837,37,9.139668084253334
GALASSO ANDREA,13499,,MSI-DN,3,1,69837,37,7.151839282901614
SGARRA GUIDO,6021,,MSI-DN,3,1,69837,37,3.1899566132565833
CAPELLO PIERO,4188,,MSI-DN,3,1,69837,37,2.218823832638859
ALACEVICH AUSONIO,3360,,MSI-DN,3,1,69837,37,1.7801451952403453
BOETTI VILLANIS AUDIFREDI LUDOVICO,2705,,MSI-DN,3,1,69837,37,1.4331228431920042
MASSANO MASSIMO,1857,,MSI-DN,3,1,69837,37,0.9838481034408695
CARLINO FRANCESCO,1824,,MSI-DN,3,1,69837,37,0.9663645345590446
DAMIANO ERMELINDA IN CARANDO,1772,,MSI-DN,3,1,69837,37,0.9388146684422297
ALFONSETTI DOMENICO,1677,,MSI-DN,3,1,69837,37,0.8884831822672795
CAMPASSI GIANFRANCO,1608,,MSI-DN,3,1,69837,37,0.8519266291507367
LUDA DI CORTEMIGLIA GIOVANNI,1289,,MSI-DN,3,1,69837,37,0.6829187966264301
BARRESI FRANCESCO,895,,MSI-DN,3,1,69837,37,0.4741755802797944
CAMMARATA CALOREGO,827,,MSI-DN,3,1,69837,37,0.43814883228088264
D'ALESSANDRO CLAUDIO,777,,MSI-DN,3,1,69837,37,0.41165857639932985
FIORILLI GIUSEPPE,735,,MSI-DN,3,1,69837,37,0.3894067614588255
GILARDI ROBERTO,734,,MSI-DN,3,1,69837,37,0.3888769563411945
BORRI ENZO,720,,MSI-DN,3,1,69837,37,0.3814596846943597
GAVAZZI REMO,655,,MSI-DN,3,1,69837,37,0.34702235204834114
ZABERT ALESSANDRO,626,,MSI-DN,3,1,69837,37,0.3316580036370405
OGGERO GIOVANNI,616,,MSI-DN,3,1,69837,37,0.32635995246072996
CASTELLETTA LUIGI,581,,MSI-DN,3,1,69837,37,0.30781677334364305
TICOZZI EGIDIO,564,,MSI-DN,3,1,69837,37,0.2988100863439151
MAZZOLA RENZO,529,,MSI-DN,3,1,69837,37,0.2802669072268282
VINCIGUERRA BRUNO,526,,MSI-DN,3,1,69837,37,0.27867749187393503
MAIORANA RAFFAELE,435,,MSI-DN,3,1,69837,37,0.230465226169509
GUCCIARDINO SALVATORE,432,,MSI-DN,3,1,69837,37,0.22887581081661584
FLORIO LUIGI,397,,MSI-DN,3,1,69837,37,0.2103326316995289
CECCHINI GIULIO,366,,MSI-DN,3,1,69837,37,0.1939086730529662
DE LUCA MARIO,353,,MSI-DN,3,1,69837,37,0.18702120652376247
NISSOTTI MARIO,342,,MSI-DN,3,1,69837,37,0.18119335022982086
VECCHI GIOVAN BATTISTA,334,,MSI-DN,3,1,69837,37,0.17695490928877242
MINA LUIGI,317,,MSI-DN,3,1,69837,37,0.1679482222890445
OLDANO SERAFINO,312,,MSI-DN,3,1,69837,37,0.16529919670088922
SCOLARI GIOVANNI,274,,MSI-DN,3,1,69837,37,0.1451666022309091
CAVALLERIS DANTE,265,,MSI-DN,3,1,69837,37,0.14039835617222962
VERNIZZI ARRIGO,174,,MSI-DN,3,1,69837,37,0.0921860904678036
LA MALFA GIORGIO,15279,Eletto,PRI,4,1,49315,37,11.463510088208455
GANDOLFI ALDO,6382,,PRI,4,1,49315,37,4.788279428165873
FRUTTERO CARLO,2756,,PRI,4,1,49315,37,2.067768427456149
LUCENTINI FRANCO,2149,,PRI,4,1,49315,37,1.6123491838183108
BANONE ACHILLE,1959,,PRI,4,1,49315,37,1.4697962080502889
BRUNO GIANCARLO,1798,,PRI,4,1,49315,37,1.349001318057386
BARISONZO ROMOLO,1624,,PRI,4,1,49315,37,1.2184528034066715
CASALI MARIA LODOVICA,1366,,PRI,4,1,49315,37,1.0248808678900942
VETRINO BIANCA IN NICOLA,1202,,PRI,4,1,49315,37,0.9018351414376964
CHIARINO FERRUCCIO,1140,,PRI,4,1,49315,37,0.8553178546081314
BERTONA ALFONSO,1005,,PRI,4,1,49315,37,0.7540302139308527
FRANCISCO EGIDIO,998,,PRI,4,1,49315,37,0.7487782621920308
