candidate,value,elected,party,party_id,district_id,Unnamed: 3,N,Q,vQ/N
NOVELLI DIEGO,115727,Eletto,PCI,1,1,,454833,36,9.15978392069177
PAJETTA GIAN CARLO,74612,Eletto,PCI,1,1,,454833,36,5.905534558838079
TURCO LIVIA,27578,Eletto,PCI,1,1,,454833,36,2.182796762767873
GIOLITTI ANTONIO,26629,Eletto,PCI,1,1,,454833,36,2.107683479430912
VIOLANTE LUCIANO,18069,Eletto,PCI,1,1,,454833,36,1.4301600807329284
GARAVANI ANDREA,15957,Eletto,PCI,1,1,,454833,36,1.2629954290915566
MAGRI LUCIO,13073,Eletto,PCI,1,1,,454833,36,1.0347270316797594
BERTONE GIUSEPPINA,12382,Eletto,PCI,1,1,,454833,36,0.9800344302194431
MOTETTA GIOVANNI,11582,Eletto,PCI,1,1,,454833,36,0.9167144864158933
RONZANI GIANNI WILMER,10380,Eletto,PCI,1,1,,454833,36,0.8215762708510597
MIGLIASSO TERESA,10318,,PCI,1,1,,454833,36,0.8166689752062845
MANFREDINI VILLER,10041,,PCI,1,1,,454833,36,0.7947444446643054
MARCHIARO MARIA LAURA,9583,,PCI,1,1,,454833,36,0.7584937768367731
LEVI BALDINI NATALIA DETTA NATALIA GINZBURG,9314,,PCI,1,1,,454833,36,0.7372024457328294
DANINI FERRUCCIO,9001,,PCI,1,1,,454833,36,0.7124285177196905
AIRAUDO GIORGIO,8977,,PCI,1,1,,454833,36,0.710528919405584
FOA VITTORIO,6344,,PCI,1,1,,454833,36,0.5021271543621505
ALBERTI AMELIA,6274,,PCI,1,1,,454833,36,0.49658665927933987
BURBA GARBOLI VILMA,5105,,PCI,1,1,,454833,36,0.40406039139640265
CELLI DANIELA,4917,,PCI,1,1,,454833,36,0.3891802046025684
RIVALTA LUIGI,4787,,PCI,1,1,,454833,36,0.37889071373449157
TESTA ENRICO DETTO CHICCO,4323,,PCI,1,1,,454833,36,0.34216514632843265
MANICA GIULIANA,4226,,PCI,1,1,,454833,36,0.33448760314225223
PRINA FRANCO,4025,,PCI,1,1,,454833,36,0.3185784672616103
ORSI ALDO,3696,,PCI,1,1,,454833,36,0.29253814037240045
BRAGGIO GUIDETTO MARIA,3406,,PCI,1,1,,454833,36,0.2695846607436136
DE MARTINO VITTORIO,3326,,PCI,1,1,,454833,36,0.2632526663632586
LASSANDRO MAURA,3295,,PCI,1,1,,454833,36,0.26079901854087106
DEMARCHI FERRAROTTI CLAUDIA,2714,,PCI,1,1,,454833,36,0.21481290935354294
SACCO CERUTTI LUISA,2551,,PCI,1,1,,454833,36,0.20191147080356966
FRANZONI PAGANOTTI MARIANGELA,2418,,PCI,1,1,,454833,36,0.1913845301462295
GROSPIETRO MARICA,2230,,PCI,1,1,,454833,36,0.1765043433523953
VARVELLO COGGIOLA SANDRA,2164,,PCI,1,1,,454833,36,0.1712804479886024
PISANI LUCIO,2149,,PCI,1,1,,454833,36,0.17009319904228584
GUERRIERI LEONARDO,2128,,PCI,1,1,,454833,36,0.16843105051744267
GARDANO ANDREA,1532,,PCI,1,1,,454833,36,0.12125769238379801
GUIDETTI SERRA BIANCA,8565,Eletto,DEM.PROL,2,1,,27359,36,11.270148762747176
TRIDENTE ALBERTO,2788,,DEM.PROL,2,1,,27359,36,3.6685551372491685
CALAMIDA FRANCO,2711,,DEM.PROL,2,1,,27359,36,3.5672356445776527
COLOMBATI GIUSEPPE DETTO LORIS,1482,,DEM.PROL,2,1,,27359,36,1.950071274534888
GARDIOL GIORGIO,1096,,DEM.PROL,2,1,,27359,36,1.4421579736101466
PAPANDREA ROCCO,849,,DEM.PROL,2,1,,27359,36,1.1171460945209986
VITALE FIERRO ALIDA,741,,DEM.PROL,2,1,,27359,36,0.975035637267444
ALBA MARIA GRAZIA,679,,DEM.PROL,2,1,,27359,36,0.8934537081033663
CAMOCARDI MARIA TERESA,569,,DEM.PROL,2,1,,27359,36,0.7487115757154866
BELCARI RENZO,568,,DEM.PROL,2,1,,27359,36,0.7473957381483242
YERRE PAOLO,553,,DEM.PROL,2,1,,27359,36,0.727658174640886
BONINO PIERO,459,,DEM.PROL,2,1,,27359,36,0.603969443327607
DOSIO NICOLETTA,443,,DEM.PROL,2,1,,27359,36,0.5829160422530063
GARELLI ANNAMARIA,384,,DEM.PROL,2,1,,27359,36,0.5052816257904164
GARDIOL EMILIO,377,,DEM.PROL,2,1,,27359,36,0.4960707628202785
OTTINO CARLO,376,,DEM.PROL,2,1,,27359,36,0.494754925253116
ANCHISI CAMILLO,365,,DEM.PROL,2,1,,27359,36,0.480280712014328
PANDOLFO GUGLIULMO,343,,DEM.PROL,2,1,,27359,36,0.4513322855367521
MAGGIAROTTI PIERGIORGIO,334,,DEM.PROL,2,1,,27359,36,0.4394897474322892
PENNINI DANIELA,326,,DEM.PROL,2,1,,27359,36,0.4289630468949889
CRISTOFARI FAUSTO,325,,DEM.PROL,2,1,,27359,36,0.4276472093278263
ZACCAGNINI FRANCESCO,315,,DEM.PROL,2,1,,27359,36,0.4144888336562009
FISSORE MAURO,309,,DEM.PROL,2,1,,27359,36,0.4065938082532256
FORNASERO ALBERTO,282,,DEM.PROL,2,1,,27359,36,0.371066193939837
GRANERO VALENTINO MARGHERITA,265,,DEM.PROL,2,1,,27359,36,0.34869695529807376
SCALDAFERRO LETIZIA,229,,DEM.PROL,2,1,,27359,36,0.30132680288022223
SELLARO SALVATORE,217,,DEM.PROL,2,1,,27359,36,0.2855367520742717
CATTANI OSVALDO,214,,DEM.PROL,2,1,,27359,36,0.2815892393727841
CLIENTI FRANCESCO SAVERIO,200,,DEM.PROL,2,1,,27359,36,0.2631675134325085
CANALIA ANTONIO,188,,DEM.PROL,2,1,,27359,36,0.247377462626558
CAGGIULA LORENZO,187,,DEM.PROL,2,1,,27359,36,0.24606162505939544
MANZONE GIUSEPPINA,180,,DEM.PROL,2,1,,27359,36,0.23685076208925765
ZANETTI ALESSANDRO,155,,DEM.PROL,2,1,,27359,36,0.2039548229101941
PASTORE RAFFAELE,102,,DEM.PROL,2,1,,27359,36,0.13421543185057933
POMPILI ENNIO,97,,DEM.PROL,2,1,,27359,36,0.12763624401476661
SENSOLO CARLINO,86,,DEM.PROL,2,1,,27359,36,0.11316203077597865
GREMMO ROBERTO,13190,,PIEMONT,3,1,,23821,35,19.37995885982956
BODRERO ANTONIO DETTO BARBA TONI,2064,,PIEMONT,3,1,,23821,35,3.0326182779900086
SEGHESIO ALBERTO,2026,,PIEMONT,3,1,,23821,35,2.9767851895386426
VAGLIO ROBERTO,1227,,PIEMONT,3,1,,23821,35,1.8028210402585954
AIROLA GIOVANNI,539,,PIEMONT,3,1,,23821,35,0.7919482809285924
BOCCO DARIO,465,,PIEMONT,3,1,,23821,35,0.683220687628563
ANGELERI BORSARELLI ELENA,411,,PIEMONT,3,1,,23821,35,0.6038789303555686
FOGLIATO ANDREA,293,,PIEMONT,3,1,,23821,35,0.4305024977960623
BRUNO PIERO,279,,PIEMONT,3,1,,23821,35,0.4099324125771378
BOSIO BERNARDO,272,,PIEMONT,3,1,,23821,35,0.3996473699676756
ALBANO GIUSEPPE,263,,PIEMONT,3,1,,23821,35,0.38642374375550986
BONNIN GIORGIO,259,,PIEMONT,3,1,,23821,35,0.3805465765501029
BESENZON CLAUDIO,186,,PIEMONT,3,1,,23821,35,0.2732882750514252
AUDINO ELIO,184,,PIEMONT,3,1,,23821,35,0.27034969144872173
MARTELLI ANGELO,169,,PIEMONT,3,1,,23821,35,0.24831031442844548
CASTAGNERI BATTISTA,166,,PIEMONT,3,1,,23821,35,0.24390243902439024
CLIMENCO WILLER,159,,PIEMONT,3,1,,23821,35,0.233617396414928
PELISSERO MAURO,155,,PIEMONT,3,1,,23821,35,0.227740229209521
CAPUCCHIO BERNARDINO,151,,PIEMONT,3,1,,23821,35,0.22186306200411401
BOLMIDA GIUSEPPE,120,,PIEMONT,3,1,,23821,35,0.17631501616220982
GONNET SILVIO,118,,PIEMONT,3,1,,23821,35,0.17337643255950633
PALLIERI VITTORIO,116,,PIEMONT,3,1,,23821,35,0.17043784895680283
VILLA PIERANGELO,109,,PIEMONT,3,1,,23821,35,0.16015280634734058
MERCANTI ENNIO,107,,PIEMONT,3,1,,23821,35,0.1572142227446371
MARENGO ALESSANDRO,99,,PIEMONT,3,1,,23821,35,0.1454598883338231
VIETTI GARBERI CLARA,92,,PIEMONT,3,1,,23821,35,0.13517484572436086
TOMASINO MARCO,87,,PIEMONT,3,1,,23821,35,0.1278283867176021
DANIELE FRANCO,86,,PIEMONT,3,1,,23821,35,0.12635909491625036
POLETTI AURELIO,82,,PIEMONT,3,1,,23821,35,0.12048192771084337
GIORDANO GIUSEPPE,80,,PIEMONT,3,1,,23821,35,0.11754334410813988
MELANO DANIELE,64,,PIEMONT,3,1,,23821,35,0.0940346752865119
LUPO SILVIO,59,,PIEMONT,3,1,,23821,35,0.08668821627975316
COLLI ANGELO,58,,PIEMONT,3,1,,23821,35,0.08521892447840142
OCCHIENA GIAN LUIGI,49,,PIEMONT,3,1,,23821,35,0.07199529826623567
PICCO PIETRO,37,,PIEMONT,3,1,,23821,35,0.054363796650014694
CROSTA CESARE,80,,ALL.POP.,4,1,,238,20,6.722689075630252
BETTINI PAOLO,31,,ALL.POP.,4,1,,238,20,2.6050420168067228
SANTORO CATALDO,26,,ALL.POP.,4,1,,238,20,2.1848739495798317
VENEZIA PIER ALFREDO,23,,ALL.POP.,4,1,,238,20,1.9327731092436975
BALDIOLI GUIDO,14,,ALL.POP.,4,1,,238,20,1.1764705882352942
COSCIA LUCIA,13,,ALL.POP.,4,1,,238,20,1.0924369747899159
COXE ANTONIA,8,,ALL.POP.,4,1,,238,20,0.6722689075630253
BECCARIA GIOVANNI,8,,ALL.POP.,4,1,,238,20,0.6722689075630253
MO ETTORE,6,,ALL.POP.,4,1,,238,20,0.5042016806722689
FERRERO GIORGIO,6,,ALL.POP.,4,1,,238,20,0.5042016806722689
RICCIARDI FRANCESCA,5,,ALL.POP.,4,1,,238,20,0.42016806722689076
DEIDDA BASILIO,4,,ALL.POP.,4,1,,238,20,0.33613445378151263
PIZZICHETTI ANTONIO,4,,ALL.POP.,4,1,,238,20,0.33613445378151263
PIGGIANELLI ATTILIO,3,,ALL.POP.,4,1,,238,20,0.25210084033613445
SPADA FULVIO,3,,ALL.POP.,4,1,,238,20,0.25210084033613445
MENOTTI ACHILLE,2,,ALL.POP.,4,1,,238,20,0.16806722689075632
