candidate,elected,value,party,party_id,district_id,N,Q,vQ/N
D.M. (Diederik) Samsom,False,77303,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,63.655037628468385
J. (Jetta) Klijnsma,False,7836,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,6.452542266880694
A.G. (Agnes) Wolbert,False,3537,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,2.9125372636494404
R.H.A. (Ronald) Plasterk,False,1746,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,1.4377410410890368
H. (Henk) Nijboer,False,812,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.6686401634388877
T.R. (Tjeerd) van Dekken,False,450,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.37055181471366927
B.R. (Bouke) Arends,False,375,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.3087931789280577
T.M. (Tanja) Jadnanansing,False,335,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.27585523984239824
L. (Lutz) Jacobi,False,320,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.2635035126852759
R.W. (Rein) Munniksma,False,299,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.24621109466530466
M.I. (Mariëtte) Hamer,False,247,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.20339177385394733
J. (Jaap) Kuin,False,241,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.19845108299109843
M.L. (Mei Li) Vos,False,161,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.13257520481977944
M. (Maarten) van Rossem,False,159,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.13092830786549647
T. (Truus) Pot-Eland,False,145,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.11940002918551565
E. (Bert) Hemsteede,False,123,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.10128416268840293
A. (Ahmed) Marcouch,False,119,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.09799036877983698
H. (Harm) Brouwer,False,103,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.08481519314557319
M.H.P. (Martijn) van Dam,False,99,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.08152139923700723
F.C.G.M. (Frans) Timmermans,False,98,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.08069795075986574
L.T. (Lea) Bouwmeester,False,97,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.07987450228272426
S. (Selcuk) Öztürk,False,87,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.07164001751130938
R. (Rien) van der Velde,False,76,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.06258208426275302
D.E. (Désirée) Bonis,False,73,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.060111738831328566
J.R.V.A. (Jeroen) Dijsselbloem,False,69,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.05681794492276262
K. (Keklik) Demir-Yücel,False,69,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.05681794492276262
A. (Annemieke) Smit,False,65,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.05352415101419667
J.W.M. (John) Kerstens,False,61,Partij van de Arbeid (P.v.d.A.),545522,663494,95938,79,0.05023035710563072
