candidate,party_id,district_id,value,N,Q,vQ/N
A.  Bakir,586946,686935,11,18312,50,0.030034949759720403
A.  Kuijer,586946,686935,4,18312,50,0.010921799912625601
A.  de Kok,586946,686935,126,18312,50,0.3440366972477064
A.H.J.W.  van Schijndel,586946,686935,1,18312,50,0.0027304499781564003
A.J.H.  van Essen,586946,686935,1,18312,50,0.0027304499781564003
A.K.  de Lange,586946,686935,2,18312,50,0.005460899956312801
B.J.  van der Werf,586946,686935,139,18312,50,0.3795325469637396
C.A.  Dieudonné,586946,686935,77,18312,50,0.21024464831804282
C.B.  Klazinga,586946,686935,2,18312,50,0.005460899956312801
D.  Osseweijer,586946,686935,361,18312,50,0.9856924421144605
D.A.G.  Boom,586946,686935,4,18312,50,0.010921799912625601
E.  Jousma,586946,686935,6,18312,50,0.0163826998689384
F.C.  Walravens,586946,686935,0,18312,50,0.0
F.J.H.  Jansen,586946,686935,209,18312,50,0.5706640454346876
G.F.C.  van Meijeren,586946,686935,10,18312,50,0.027304499781564
G.J.  Mulder,586946,686935,0,18312,50,0.0
G.W.D.  Jeelof,586946,686935,0,18312,50,0.0
H.  Velzing,586946,686935,21,18312,50,0.05733944954128441
H.A.J.  Smolders,586946,686935,54,18312,50,0.1474442988204456
J.  Bos,586946,686935,15,18312,50,0.040956749672346006
J.  Dessing,586946,686935,0,18312,50,0.0
J.  Talsma,586946,686935,22,18312,50,0.060069899519440806
J.  Vastenhouw,586946,686935,23,18312,50,0.0628003494975972
J.A.  van der Voort,586946,686935,0,18312,50,0.0
J.B.T.  Hugenholtz,586946,686935,2,18312,50,0.005460899956312801
J.C.M.  van den Oetelaar,586946,686935,16,18312,50,0.043687199650502405
J.F.  van der Knoop,586946,686935,3,18312,50,0.0081913499344692
L.  Cornelissen,586946,686935,4,18312,50,0.010921799912625601
M.  Bos,586946,686935,3,18312,50,0.0081913499344692
M.A.J.  van der Velden,586946,686935,6,18312,50,0.0163826998689384
O.R.  Ephraim,586946,686935,29,18312,50,0.0791830493665356
P.  van Houwelingen,586946,686935,7,18312,50,0.0191131498470948
P.C.  Vermaas,586946,686935,2,18312,50,0.005460899956312801
P.J.  Mink,586946,686935,1,18312,50,0.0027304499781564003
P.J.T.  Verstegen,586946,686935,5,18312,50,0.013652249890782
P.M.L.  Frentrop,586946,686935,6,18312,50,0.0163826998689384
R.A.  de Keijzer,586946,686935,8,18312,50,0.021843599825251202
R.B.  Driessen,586946,686935,5,18312,50,0.013652249890782
R.J.  Dekker,586946,686935,19,18312,50,0.0518785495849716
R.J.  Staartjes,586946,686935,2,18312,50,0.005460899956312801
S.  Kerseboom,586946,686935,169,18312,50,0.4614460463084316
S.J.  Jong,586946,686935,10,18312,50,0.027304499781564
S.M.  van der Pol,586946,686935,8,18312,50,0.021843599825251202
S.W.A.  de Groot,586946,686935,3,18312,50,0.0081913499344692
T.H.  Rotmans,586946,686935,3,18312,50,0.0081913499344692
T.H.P.  Baudet,586946,686935,8727,18312,50,23.828636959370904
W.F.  Verbraak,586946,686935,0,18312,50,0.0
W.J.  Koopmans-van der Veen,586946,686935,113,18312,50,0.3085408475316732
W.R.  van Haga,586946,686935,8072,18312,50,22.040192223678464
Y.A.  Chevalier,586946,686935,1,18312,50,0.0027304499781564003
A.  Bakir,586946,686936,11,30329,50,0.01813445876883511
A.  Kuijer,586946,686936,10,30329,50,0.016485871608031916
A.  de Kok,586946,686936,217,30329,50,0.3577434138942926
A.H.J.W.  van Schijndel,586946,686936,4,30329,50,0.006594348643212767
A.J.H.  van Essen,586946,686936,5,30329,50,0.008242935804015958
A.K.  de Lange,586946,686936,9,30329,50,0.014837284447228725
B.J.  van der Werf,586946,686936,17,30329,50,0.028025981733654257
C.A.  Dieudonné,586946,686936,95,30329,50,0.1566157802763032
C.B.  Klazinga,586946,686936,2,30329,50,0.0032971743216063834
D.  Osseweijer,586946,686936,30,30329,50,0.04945761482409575
D.A.G.  Boom,586946,686936,5,30329,50,0.008242935804015958
E.  Jousma,586946,686936,279,30329,50,0.45995581786409045
F.C.  Walravens,586946,686936,0,30329,50,0.0
F.J.H.  Jansen,586946,686936,195,30329,50,0.3214744963566224
G.F.C.  van Meijeren,586946,686936,31,30329,50,0.051106201984898944
G.J.  Mulder,586946,686936,1,30329,50,0.0016485871608031917
G.W.D.  Jeelof,586946,686936,5,30329,50,0.008242935804015958
H.  Velzing,586946,686936,7,30329,50,0.011540110125622342
H.A.J.  Smolders,586946,686936,104,30329,50,0.17145306472353194
J.  Bos,586946,686936,12,30329,50,0.0197830459296383
J.  Dessing,586946,686936,1,30329,50,0.0016485871608031917
J.  Talsma,586946,686936,773,30329,50,1.274357875300867
J.  Vastenhouw,586946,686936,38,30329,50,0.06264631211052128
J.A.  van der Voort,586946,686936,3,30329,50,0.004945761482409575
J.B.T.  Hugenholtz,586946,686936,1,30329,50,0.0016485871608031917
J.C.M.  van den Oetelaar,586946,686936,12,30329,50,0.0197830459296383
J.F.  van der Knoop,586946,686936,3,30329,50,0.004945761482409575
L.  Cornelissen,586946,686936,3,30329,50,0.004945761482409575
M.  Bos,586946,686936,9,30329,50,0.014837284447228725
M.A.J.  van der Velden,586946,686936,9,30329,50,0.014837284447228725
O.R.  Ephraim,586946,686936,30,30329,50,0.04945761482409575
P.  van Houwelingen,586946,686936,17,30329,50,0.028025981733654257
P.C.  Vermaas,586946,686936,1,30329,50,0.0016485871608031917
P.J.  Mink,586946,686936,0,30329,50,0.0
P.J.T.  Verstegen,586946,686936,4,30329,50,0.006594348643212767
P.M.L.  Frentrop,586946,686936,15,30329,50,0.024728807412047873
R.A.  de Keijzer,586946,686936,21,30329,50,0.03462033037686703
R.B.  Driessen,586946,686936,2,30329,50,0.0032971743216063834
R.J.  Dekker,586946,686936,27,30329,50,0.044511853341686176
R.J.  Staartjes,586946,686936,3,30329,50,0.004945761482409575
S.  Kerseboom,586946,686936,230,30329,50,0.3791750469847341
S.J.  Jong,586946,686936,10,30329,50,0.016485871608031916
S.M.  van der Pol,586946,686936,9,30329,50,0.014837284447228725
S.W.A.  de Groot,586946,686936,10,30329,50,0.016485871608031916
T.H.  Rotmans,586946,686936,2,30329,50,0.0032971743216063834
T.H.P.  Baudet,586946,686936,12942,30329,50,21.336015035114908
W.F.  Verbraak,586946,686936,1,30329,50,0.0016485871608031917
W.J.  Koopmans-van der Veen,586946,686936,954,30329,50,1.5727521514062448
W.R.  van Haga,586946,686936,14146,30329,50,23.32091397672195
Y.A.  Chevalier,586946,686936,14,30329,50,0.023080220251244683
A.  Bakir,586946,686937,12,17664,50,0.033967391304347824
A.  Kuijer,586946,686937,4,17664,50,0.011322463768115942
A.  de Kok,586946,686937,121,17664,50,0.34250452898550726
A.H.J.W.  van Schijndel,586946,686937,0,17664,50,0.0
A.J.H.  van Essen,586946,686937,2,17664,50,0.005661231884057971
A.K.  de Lange,586946,686937,10,17664,50,0.028306159420289856
B.J.  van der Werf,586946,686937,38,17664,50,0.10756340579710146
