candidate,party_id,district_id,value,N,Q,vQ/N
Adrian Billerbeck,Junge Schweizerische Volkspartei,Arlesheim,358,1677,7,1.494335122242099
Cédric Wernli,Junge Schweizerische Volkspartei,Arlesheim,222,1677,7,0.9266547406082289
Fabian Cueni,Junge Schweizerische Volkspartei,Arlesheim,223,1677,7,0.9308288610614192
Jessica Sarah Sumi,Junge Schweizerische Volkspartei,Arlesheim,183,1677,7,0.7638640429338104
Marc Stöcklin,Junge Schweizerische Volkspartei,Arlesheim,127,1677,7,0.530113297555158
Michel Mamie,Junge Schweizerische Volkspartei,Arlesheim,349,1677,7,1.456768038163387
Victor-Tobias Guillén,Junge Schweizerische Volkspartei,Arlesheim,215,1677,7,0.8974358974358975
Adrian Billerbeck,Junge Schweizerische Volkspartei,Laufen,25,372,7,0.47043010752688175
Cédric Wernli,Junge Schweizerische Volkspartei,Laufen,21,372,7,0.3951612903225806
Fabian Cueni,Junge Schweizerische Volkspartei,Laufen,225,372,7,4.233870967741935
Jessica Sarah Sumi,Junge Schweizerische Volkspartei,Laufen,19,372,7,0.3575268817204301
Marc Stöcklin,Junge Schweizerische Volkspartei,Laufen,15,372,7,0.28225806451612906
Michel Mamie,Junge Schweizerische Volkspartei,Laufen,41,372,7,0.771505376344086
Victor-Tobias Guillén,Junge Schweizerische Volkspartei,Laufen,26,372,7,0.489247311827957
Adrian Billerbeck,Junge Schweizerische Volkspartei,Liestal,86,574,7,1.048780487804878
Cédric Wernli,Junge Schweizerische Volkspartei,Liestal,61,574,7,0.7439024390243902
Fabian Cueni,Junge Schweizerische Volkspartei,Liestal,77,574,7,0.9390243902439024
Jessica Sarah Sumi,Junge Schweizerische Volkspartei,Liestal,118,574,7,1.4390243902439024
Marc Stöcklin,Junge Schweizerische Volkspartei,Liestal,54,574,7,0.6585365853658537
Michel Mamie,Junge Schweizerische Volkspartei,Liestal,112,574,7,1.3658536585365855
Victor-Tobias Guillén,Junge Schweizerische Volkspartei,Liestal,66,574,7,0.8048780487804879
Adrian Billerbeck,Junge Schweizerische Volkspartei,Sissach,60,406,7,1.0344827586206897
Cédric Wernli,Junge Schweizerische Volkspartei,Sissach,30,406,7,0.5172413793103449
Fabian Cueni,Junge Schweizerische Volkspartei,Sissach,52,406,7,0.896551724137931
Jessica Sarah Sumi,Junge Schweizerische Volkspartei,Sissach,81,406,7,1.396551724137931
Marc Stöcklin,Junge Schweizerische Volkspartei,Sissach,67,406,7,1.1551724137931034
Michel Mamie,Junge Schweizerische Volkspartei,Sissach,71,406,7,1.2241379310344827
Victor-Tobias Guillén,Junge Schweizerische Volkspartei,Sissach,45,406,7,0.7758620689655172
Adrian Billerbeck,Junge Schweizerische Volkspartei,Waldenburg,33,213,7,1.0845070422535212
Cédric Wernli,Junge Schweizerische Volkspartei,Waldenburg,25,213,7,0.8215962441314554
Fabian Cueni,Junge Schweizerische Volkspartei,Waldenburg,35,213,7,1.1502347417840375
Jessica Sarah Sumi,Junge Schweizerische Volkspartei,Waldenburg,39,213,7,1.2816901408450705
Marc Stöcklin,Junge Schweizerische Volkspartei,Waldenburg,22,213,7,0.7230046948356808
Michel Mamie,Junge Schweizerische Volkspartei,Waldenburg,41,213,7,1.3474178403755868
Victor-Tobias Guillén,Junge Schweizerische Volkspartei,Waldenburg,18,213,7,0.5915492957746479
Andrea Camenzind,Schweizerische Volkspartei,Arlesheim,10556,84771,7,0.8716660178598813
Caspar Baader,Schweizerische Volkspartei,Arlesheim,16327,84771,7,1.3482087034481132
Christian Miesch,Schweizerische Volkspartei,Arlesheim,14131,84771,7,1.1668731051892747
Dieter Völlmin,Schweizerische Volkspartei,Arlesheim,10796,84771,7,0.8914841160302462
Georges Thüring,Schweizerische Volkspartei,Arlesheim,10248,84771,7,0.8462327918745798
Hans-Jürgen Ringgenberg,Schweizerische Volkspartei,Arlesheim,10019,84771,7,0.8273230232036899
Thomas de Courten,Schweizerische Volkspartei,Arlesheim,12694,84771,7,1.048212242394215
Andrea Camenzind,Schweizerische Volkspartei,Laufen,1243,11514,7,0.7556887267674136
Caspar Baader,Schweizerische Volkspartei,Laufen,2089,11514,7,1.2700191071738753
Christian Miesch,Schweizerische Volkspartei,Laufen,1800,11514,7,1.0943199583116205
Dieter Völlmin,Schweizerische Volkspartei,Laufen,1245,11514,7,0.7569046378322043
Georges Thüring,Schweizerische Volkspartei,Laufen,2515,11514,7,1.529008163974292
Hans-Jürgen Ringgenberg,Schweizerische Volkspartei,Laufen,1165,11514,7,0.7082681952405767
Thomas de Courten,Schweizerische Volkspartei,Laufen,1457,11514,7,0.8857912107000173
Andrea Camenzind,Schweizerische Volkspartei,Liestal,3755,33667,7,0.7807348442094633
Caspar Baader,Schweizerische Volkspartei,Liestal,6754,33667,7,1.4042831259096444
Christian Miesch,Schweizerische Volkspartei,Liestal,5982,33667,7,1.243769863664716
Dieter Völlmin,Schweizerische Volkspartei,Liestal,5009,33667,7,1.0414649359907329
Georges Thüring,Schweizerische Volkspartei,Liestal,3695,33667,7,0.7682597202007901
Hans-Jürgen Ringgenberg,Schweizerische Volkspartei,Liestal,3262,33667,7,0.6782309086048653
Thomas de Courten,Schweizerische Volkspartei,Liestal,5210,33667,7,1.083256601419788
Andrea Camenzind,Schweizerische Volkspartei,Sissach,2800,26594,7,0.7370083477476123
Caspar Baader,Schweizerische Volkspartei,Sissach,6110,26594,7,1.608257501692111
Christian Miesch,Schweizerische Volkspartei,Sissach,4919,26594,7,1.294765736632323
Dieter Völlmin,Schweizerische Volkspartei,Sissach,3505,26594,7,0.9225765210197789
Georges Thüring,Schweizerische Volkspartei,Sissach,2510,26594,7,0.6606753403023238
Hans-Jürgen Ringgenberg,Schweizerische Volkspartei,Sissach,2298,26594,7,0.6048732796871474
Thomas de Courten,Schweizerische Volkspartei,Sissach,4452,26594,7,1.1718432729187034
Andrea Camenzind,Schweizerische Volkspartei,Waldenburg,1476,14031,7,0.7363694676074407
Caspar Baader,Schweizerische Volkspartei,Waldenburg,2922,14031,7,1.457772076117169
Christian Miesch,Schweizerische Volkspartei,Waldenburg,2999,14031,7,1.4961870144679639
Dieter Völlmin,Schweizerische Volkspartei,Waldenburg,1819,14031,7,0.907490556624617
Georges Thüring,Schweizerische Volkspartei,Waldenburg,1523,14031,7,0.7598175468605232
